persona,persona_dimension_list,Extraversion_score,Agreeableness_score,Conscientiousness_score,Neuroticism_score,Openness_score
"cares about the well-being of others, is not concerned with reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",34,44,31,28,36
"is not concerned with the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",23,14,42,35,35
"is not concerned with the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",35,15,35,28,36
"is not concerned with the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",29,16,33,31,35
"is not concerned with the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",33,12,25,32,32
"is not concerned with the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",27,13,34,38,33
"is not concerned with the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",31,14,31,29,33
"is not concerned with the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",23,14,25,30,36
"is not concerned with the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",34,12,22,37,36
"is not concerned with the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['is not concerned with the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",23,11,36,37,28
"is not concerned with the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['is not concerned with the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",29,10,33,38,36
"is not concerned with the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['is not concerned with the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",29,11,29,41,39
"is not concerned with the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['is not concerned with the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",31,11,24,38,36
"is not concerned with the well-being of others, is not concerned with reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['is not concerned with the well-being of others', 'is not concerned with reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",22,11,40,27,34
"is not concerned with the well-being of others, is not concerned with reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['is not concerned with the well-being of others', 'is not concerned with reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",28,11,29,39,35
"is not concerned with the well-being of others, is not concerned with reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['is not concerned with the well-being of others', 'is not concerned with reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",29,11,23,36,44
"is not concerned with the well-being of others, is not concerned with reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['is not concerned with the well-being of others', 'is not concerned with reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",28,11,19,34,34
