persona,Am the life of the party.,Feel little concern for others.,Am always prepared.,Get stressed out easily.,Have a rich vocabulary.,Don't talk a lot.,Am interested in people.,Leave my belongings around.,Am relaxed most of the time.,Have difficulty understanding abstract ideas.,Feel comfortable around people.,Insult people.,Pay attention to details.,Worry about things.,Have a vivid imagination.,Keep in the background.,Sympathize with others' feelings.,Make a mess of things.,Seldom feel blue.,Am not interested in abstract ideas.,Start conversations.,Am not interested in other people's problems.,Get chores done right away.,Am easily disturbed.,Have excellent ideas.,Have little to say.,Have a soft heart.,Often forget to put things back in their proper place.,Get upset easily.,Do not have a good imagination.,Talk to a lot of different people at parties.,Am not really interested in others.,Like order.,Change my mood a lot.,Am quick to understand things.,Don't like to draw attention to myself.,Take time out for others.,Shirk my duties.,Have frequent mood swings.,Use difficult words.,Don't mind being the center of attention.,Feel others' emotions.,Follow a schedule.,Get irritated easily.,Spend time reflecting on things.,Am quiet around strangers.,Make people feel at ease.,Am exacting in my work.,Often feel blue.,Am full of ideas.
"highly open to experience, conscientious, extroverted, agreeable and emotionally stable",strongly agree,strongly disagree,agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,agree,strongly disagree,strongly agree,"statement: 'insult people.'.  
strongly disagree",strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly disagree,agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly disagree,strongly agree
"slightly open to experience, conscientious, extroverted, agreeable and emotionally stable",strongly agree,strongly disagree,agree,disagree,agree,strongly disagree,strongly agree,strongly disagree,strongly agree,disagree,strongly agree,"statement: 'insult people.'. 
strongly disagree",strongly agree,disagree,disagree,strongly disagree,strongly agree,disagree,strongly agree,disagree,strongly agree,strongly disagree,strongly agree,disagree,agree,strongly disagree,strongly agree,strongly disagree,strongly disagree,disagree,strongly agree,disagree,strongly agree,strongly disagree,agree,strongly disagree,strongly agree,strongly disagree,strongly disagree,neither agree nor disagree,strongly agree,agree,strongly agree,strongly disagree,agree,disagree,strongly agree,strongly agree,strongly disagree,agree
"open to experience, highly conscientious, extroverted, agreeable and emotionally stable",strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,disagree,strongly agree,strongly disagree,agree,strongly disagree,strongly agree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly disagree,agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly disagree,strongly agree
"open to experience, slightly conscientious, extroverted, agreeable and emotionally stable","statement: 'am the life of the party.'. 
strongly agree",strongly disagree,disagree,disagree,strongly agree,disagree,strongly agree,neither agree nor disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,neither agree nor disagree,disagree,agree,disagree,strongly agree,disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,disagree,disagree,agree,strongly disagree,strongly agree,agree,strongly disagree,strongly disagree,strongly agree,strongly disagree,agree,disagree,agree,disagree,agree,disagree,strongly disagree,agree,strongly agree,agree,neither agree nor disagree,strongly disagree,agree,disagree,strongly agree,disagree,disagree,strongly agree
"open to experience, conscientious, highly extroverted, agreeable and emotionally stable",strongly agree,strongly disagree,agree,strongly disagree,strongly agree,statement: 'don't talk a lot.'. strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,"statement: 'insult people.'. 
strongly disagree",strongly agree,disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly disagree,agree,strongly agree,strongly agree,strongly agree,strongly disagree,agree,strongly disagree,strongly agree,strongly agree,strongly disagree,strongly agree
"open to experience, conscientious, slightly extroverted, agreeable and emotionally stable",agree,strongly disagree,agree,strongly disagree,strongly agree,disagree,strongly agree,strongly disagree,agree,strongly disagree,agree,strongly disagree,strongly agree,disagree,strongly agree,disagree,strongly agree,disagree,strongly agree,strongly disagree,agree,disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly disagree,strongly disagree,agree,strongly disagree,agree,disagree,strongly agree,disagree,strongly agree,strongly disagree,strongly disagree,neither agree nor disagree,agree,strongly agree,strongly agree,strongly disagree,agree,disagree,agree,strongly agree,disagree,strongly agree
"open to experience, conscientious, extroverted, highly agreeable and emotionally stable",strongly agree,strongly disagree,strongly agree,"statement: 'get stressed out easily.'.  
strongly disagree",strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,"statement: 'pay attention to details.'. 
strongly agree",disagree,strongly agree,strongly disagree,strongly agree,disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,agree,strongly disagree,strongly agree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly disagree,agree,strongly agree,strongly agree,strongly agree,strongly disagree,agree,strongly disagree,strongly agree,strongly agree,strongly disagree,strongly agree
"open to experience, conscientious, extroverted, slightly agreeable and emotionally stable",strongly agree,disagree,strongly agree,disagree,strongly agree,disagree,strongly agree,disagree,strongly agree,strongly disagree,agree,disagree,strongly agree,disagree,strongly agree,disagree,agree,disagree,strongly agree,strongly disagree,strongly agree,disagree,strongly agree,strongly disagree,agree,strongly disagree,agree,strongly disagree,disagree,strongly disagree,strongly agree,disagree,strongly agree,disagree,strongly agree,disagree,agree,strongly disagree,strongly disagree,agree,strongly agree,agree,strongly agree,disagree,agree,disagree,agree,strongly agree,disagree,strongly agree
"open to experience, conscientious, extroverted, agreeable and highly emotionally stable",strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,disagree,strongly agree,disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly disagree,agree,strongly agree,strongly agree,strongly agree,strongly disagree,agree,disagree,strongly agree,strongly agree,strongly disagree,strongly agree
"open to experience, conscientious, extroverted, agreeable and slightly emotionally stable","statement: 'am the life of the party.'. 
strongly agree",strongly disagree,agree,disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,disagree,strongly disagree,strongly agree,disagree,strongly agree,agree,strongly agree,disagree,strongly agree,strongly disagree,agree,strongly disagree,strongly agree,strongly disagree,strongly agree,disagree,agree,strongly disagree,strongly agree,strongly disagree,disagree,strongly disagree,strongly agree,disagree,strongly agree,disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,disagree,agree,strongly agree,strongly agree,agree,disagree,agree,disagree,strongly agree,strongly agree,disagree,strongly agree
"highly open to experience, conscientious, extroverted, antagonistic and neurotic",strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly disagree,strongly disagree,"statement: 'feel comfortable around people.'. 
strongly agree",strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly agree,agree,strongly agree,strongly agree,strongly agree,strongly disagree,disagree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly agree,agree,strongly disagree,disagree,strongly disagree,strongly agree,strongly agree,strongly agree,agree,strongly agree,strongly agree,agree,disagree,disagree,strongly agree,strongly agree,strongly agree
"slightly open to experience, conscientious, extroverted, antagonistic and neurotic",strongly agree,strongly agree,agree,strongly agree,agree,strongly disagree,strongly agree,strongly disagree,strongly disagree,disagree,strongly agree,strongly agree,strongly agree,strongly agree,agree,strongly disagree,disagree,disagree,strongly disagree,disagree,strongly agree,agree,agree,strongly agree,agree,disagree,disagree,strongly disagree,strongly agree,disagree,strongly agree,disagree,strongly agree,strongly agree,agree,strongly disagree,disagree,disagree,strongly agree,strongly agree,strongly agree,disagree,strongly agree,strongly agree,agree,disagree,disagree,strongly agree,strongly agree,agree
"open to experience, highly conscientious, extroverted, antagonistic and neurotic",strongly agree,agree,"statement: 'am always prepared.'  
strongly agree",strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree,disagree,disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,disagree,disagree,disagree,strongly disagree,strongly agree,agree,strongly agree,strongly agree,strongly agree,strongly disagree,disagree,strongly disagree,strongly agree,strongly disagree,strongly agree,disagree,strongly agree,strongly agree,strongly agree,strongly disagree,disagree,strongly disagree,strongly agree,strongly agree,strongly agree,disagree,strongly agree,strongly agree,strongly agree,strongly disagree,disagree,strongly agree,strongly agree,strongly agree
"open to experience, slightly conscientious, extroverted, antagonistic and neurotic",strongly agree,strongly agree,disagree,strongly agree,strongly agree,disagree,strongly agree,agree,strongly disagree,strongly disagree,strongly agree,strongly agree,disagree,strongly agree,strongly agree,strongly disagree,disagree,agree,disagree,strongly disagree,strongly agree,agree,disagree,strongly agree,strongly agree,strongly disagree,disagree,disagree,strongly agree,strongly disagree,strongly agree,disagree,agree,strongly agree,agree,strongly disagree,disagree,disagree,strongly agree,agree,strongly agree,disagree,disagree,strongly agree,agree,disagree,disagree,disagree,strongly agree,strongly agree
"open to experience, conscientious, highly extroverted, antagonistic and neurotic",strongly agree,agree,strongly agree,"statement: 'get stressed out easily.'. 
strongly agree",strongly agree,strongly disagree,strongly agree,strongly disagree,disagree,strongly disagree,strongly agree,"statement: 'insult people.'. 
strongly agree",strongly agree,"statement: 'worry about things.'. 
strongly agree",strongly agree,strongly disagree,disagree,disagree,strongly disagree,strongly disagree,strongly agree,disagree,agree,strongly agree,strongly agree,strongly disagree,disagree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,"statement: 'change my mood a lot.'. 
strongly agree",agree,strongly disagree,disagree,strongly disagree,strongly agree,strongly agree,strongly agree,disagree,strongly agree,strongly agree,agree,strongly disagree,disagree,strongly agree,strongly agree,strongly agree
"open to experience, conscientious, slightly extroverted, antagonistic and neurotic",neither agree nor disagree,strongly agree,agree,strongly agree,strongly agree,disagree,agree,strongly disagree,disagree,strongly disagree,neither agree nor disagree,strongly agree,strongly agree,strongly agree,strongly agree,disagree,disagree,disagree,strongly disagree,strongly disagree,strongly agree,agree,agree,strongly agree,agree,disagree,neither agree nor disagree,disagree,strongly agree,strongly disagree,agree,disagree,agree,strongly agree,agree,disagree,disagree,disagree,strongly agree,agree,agree,neither agree nor disagree,agree,strongly agree,strongly agree,disagree,disagree,strongly agree,strongly agree,strongly agree
"open to experience, conscientious, extroverted, highly antagonistic and neurotic",strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree,disagree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,disagree,disagree,disagree,strongly disagree,strongly agree,strongly agree,agree,strongly agree,strongly agree,"statement: 'have little to say.'. 
strongly disagree",strongly disagree,strongly disagree,strongly agree,strongly disagree,strongly agree,disagree,strongly agree,strongly agree,agree,strongly disagree,disagree,strongly disagree,strongly agree,strongly agree,strongly agree,disagree,strongly agree,strongly agree,agree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly agree
"open to experience, conscientious, extroverted, slightly antagonistic and neurotic",strongly agree,disagree,agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree,disagree,disagree,strongly agree,agree,strongly agree,strongly agree,strongly agree,disagree,disagree,disagree,disagree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly disagree,agree,disagree,strongly agree,strongly disagree,strongly agree,disagree,strongly agree,strongly agree,agree,strongly disagree,agree,strongly disagree,strongly agree,strongly agree,strongly agree,agree,agree,agree,agree,strongly disagree,agree,strongly agree,agree,"statement: 'am full of ideas.'. 
strongly agree"
"open to experience, conscientious, extroverted, antagonistic and highly neurotic",strongly agree,strongly agree,agree,strongly agree,strongly agree,strongly disagree,agree,strongly disagree,disagree,disagree,agree,agree,strongly agree,strongly agree,strongly agree,strongly disagree,disagree,disagree,"statement: 'seldom feel blue.'. 
strongly disagree",strongly disagree,strongly agree,agree,strongly agree,strongly agree,agree,strongly disagree,disagree,disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly agree,agree,disagree,disagree,strongly disagree,strongly agree,strongly agree,strongly agree,disagree,strongly agree,strongly agree,strongly agree,disagree,disagree,strongly agree,strongly agree,strongly agree
"open to experience, conscientious, extroverted, antagonistic and slightly neurotic",strongly agree,disagree,agree,agree,strongly agree,strongly disagree,agree,strongly disagree,disagree,disagree,"statement: 'feel comfortable around people.'. 
strongly agree",agree,strongly agree,agree,strongly agree,strongly disagree,disagree,disagree,disagree,strongly disagree,strongly agree,strongly agree,strongly agree,agree,strongly agree,strongly disagree,disagree,strongly disagree,agree,strongly disagree,strongly agree,disagree,strongly agree,agree,strongly agree,disagree,disagree,disagree,agree,strongly agree,strongly agree,agree,agree,agree,agree,disagree,disagree,strongly agree,disagree,strongly agree
"highly open to experience, conscientious, extroverted, antagonistic and emotionally stable",strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,agree,strongly disagree,strongly agree,strongly agree,strongly agree,disagree,strongly agree,strongly disagree,disagree,disagree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree,disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly agree,strongly agree,disagree,strongly agree,strongly disagree,agree,strongly disagree,disagree,strongly agree,strongly disagree,strongly agree
"slightly open to experience, conscientious, extroverted, antagonistic and emotionally stable",strongly agree,strongly agree,agree,strongly disagree,agree,strongly disagree,agree,strongly disagree,agree,disagree,strongly agree,agree,strongly agree,disagree,disagree,strongly disagree,disagree,disagree,strongly agree,disagree,strongly agree,agree,strongly agree,disagree,agree,strongly disagree,disagree,strongly disagree,disagree,disagree,strongly agree,disagree,strongly agree,disagree,agree,strongly disagree,disagree,strongly disagree,strongly disagree,agree,strongly agree,disagree,strongly agree,disagree,neither agree nor disagree,disagree,disagree,strongly agree,strongly disagree,agree
"open to experience, highly conscientious, extroverted, antagonistic and emotionally stable",strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree,agree,strongly disagree,agree,disagree,strongly agree,strongly agree,strongly agree,disagree,strongly agree,strongly disagree,disagree,disagree,strongly agree,strongly disagree,strongly agree,agree,strongly agree,disagree,strongly agree,strongly disagree,disagree,strongly disagree,disagree,strongly disagree,strongly agree,strongly disagree,"statement: 'like order.'. 
strongly agree",disagree,strongly agree,strongly disagree,disagree,strongly disagree,disagree,strongly agree,strongly agree,disagree,strongly agree,disagree,agree,strongly disagree,disagree,strongly agree,strongly disagree,strongly agree
"open to experience, slightly conscientious, extroverted, antagonistic and emotionally stable",strongly agree,strongly agree,disagree,disagree,strongly agree,strongly disagree,agree,disagree,agree,disagree,strongly agree,strongly agree,neither agree nor disagree,disagree,strongly agree,strongly disagree,disagree,disagree,strongly agree,strongly disagree,strongly agree,agree,disagree,disagree,strongly agree,strongly disagree,disagree,disagree,disagree,strongly disagree,strongly agree,disagree,neither agree nor disagree,strongly disagree,agree,disagree,disagree,disagree,disagree,strongly agree,strongly agree,disagree,neither agree nor disagree,disagree,neither agree nor disagree,disagree,disagree,disagree,strongly disagree,strongly agree
"open to experience, conscientious, highly extroverted, antagonistic and emotionally stable",strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,agree,strongly disagree,strongly agree,strongly agree,strongly agree,disagree,strongly agree,strongly disagree,disagree,disagree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,disagree,strongly agree,strongly disagree,disagree,disagree,strongly disagree,strongly disagree,strongly agree,strongly disagree,strongly agree,disagree,strongly agree,strongly disagree,neither agree nor disagree,strongly disagree,strongly disagree,strongly agree,strongly agree,disagree,strongly agree,strongly disagree,agree,strongly disagree,disagree,strongly agree,strongly disagree,strongly agree
"open to experience, conscientious, slightly extroverted, antagonistic and emotionally stable",neither agree nor disagree,agree,agree,disagree,strongly agree,disagree,agree,disagree,agree,strongly disagree,agree,agree,strongly agree,disagree,strongly agree,disagree,disagree,disagree,strongly agree,strongly disagree,agree,agree,strongly agree,disagree,strongly agree,strongly disagree,disagree,strongly disagree,disagree,strongly disagree,agree,agree,strongly agree,disagree,agree,disagree,disagree,strongly disagree,disagree,strongly agree,agree,disagree,strongly agree,disagree,strongly agree,disagree,disagree,strongly agree,disagree,strongly agree
"open to experience, conscientious, extroverted, highly antagonistic and emotionally stable",strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree,agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree,disagree,disagree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly agree,disagree,agree,disagree,strongly agree,strongly disagree,disagree,strongly disagree,disagree,strongly agree,strongly agree,disagree,strongly agree,strongly disagree,agree,disagree,strongly disagree,strongly agree,strongly disagree,strongly agree
"open to experience, conscientious, extroverted, slightly antagonistic and emotionally stable",strongly agree,disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,"statement: 'feel comfortable around people.'. 
strongly agree",disagree,strongly agree,disagree,strongly agree,strongly disagree,agree,disagree,strongly agree,"statement: 'am not interested in abstract ideas.'  
strongly disagree",strongly agree,disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,disagree,disagree,disagree,strongly disagree,strongly agree,disagree,strongly agree,disagree,strongly agree,disagree,agree,strongly disagree,disagree,agree,strongly agree,disagree,agree,disagree,agree,disagree,agree,strongly agree,strongly disagree,strongly agree
"open to experience, conscientious, extroverted, antagonistic and highly emotionally stable",strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,disagree,strongly agree,strongly disagree,disagree,disagree,strongly agree,strongly disagree,strongly agree,agree,strongly agree,strongly disagree,strongly agree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree,disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,disagree,strongly disagree,strongly disagree,agree,strongly agree,disagree,strongly agree,strongly disagree,agree,strongly disagree,disagree,strongly agree,strongly disagree,strongly agree
"open to experience, conscientious, extroverted, antagonistic and slightly emotionally stable",strongly agree,agree,strongly agree,disagree,strongly agree,disagree,strongly agree,strongly disagree,disagree,strongly disagree,strongly agree,agree,strongly agree,agree,strongly agree,disagree,disagree,disagree,agree,strongly disagree,strongly agree,disagree,agree,disagree,strongly agree,strongly disagree,disagree,disagree,disagree,strongly disagree,strongly agree,disagree,strongly agree,disagree,agree,strongly disagree,disagree,strongly disagree,disagree,agree,strongly agree,disagree,strongly agree,agree,neither agree nor disagree,disagree,disagree,agree,disagree,strongly agree
