persona,Compassion for those who are suffering is the most crucial virtue.,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",I am proud of my country’s history.,Respect for authority is something all children need to learn.,"People should not do things that are disgusting, even if no one is harmed.",It is better to do good than to do bad.,One of the worst things a person could do is hurt a defenseless animal.,Justice is the most important requirement for a society.,"People should be loyal to their family members, even when they have done something wrong.",Men and women each have different roles to play in society.,I would call some acts wrong on the grounds that they are unnatural.,It can never be right to kill a human being.,I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.,It is more important to be a team player than to express oneself.,"If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.",Chastity is an important and valuable virtue.
"open to experience, conscientious, introverted, slightly agreeable and emotionally stable",strongly agree,moderately agree,slightly agree,moderately agree,slightly agree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,moderately disagree,slightly agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, conscientious, introverted, agreeable and highly emotionally stable",strongly agree,strongly agree,slightly agree,moderately agree,moderately agree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,moderately disagree,moderately agree,moderately agree,slightly disagree,moderately agree
"open to experience, conscientious, introverted, agreeable and slightly emotionally stable",strongly agree,strongly agree,slightly agree,moderately agree,slightly agree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,moderately disagree,moderately agree,moderately agree,slightly disagree,slightly agree
"highly open to experience, conscientious, introverted, antagonistic and neurotic",slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,strongly disagree,strongly agree,slightly disagree,moderately disagree,slightly disagree,slightly disagree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"slightly open to experience, conscientious, introverted, antagonistic and neurotic",slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,strongly disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree,moderately disagree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, highly conscientious, introverted, antagonistic and neurotic",slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,strongly disagree,strongly agree,slightly disagree,moderately disagree,moderately disagree,moderately disagree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, slightly conscientious, introverted, antagonistic and neurotic",moderately agree,moderately disagree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately disagree,slightly disagree,slightly disagree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, conscientious, highly introverted, antagonistic and neurotic",slightly disagree,moderately disagree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately disagree,moderately disagree,moderately disagree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, conscientious, slightly introverted, antagonistic and neurotic",moderately agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,moderately disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, conscientious, introverted, highly antagonistic and neurotic",slightly disagree,moderately disagree,slightly disagree,slightly disagree,slightly disagree,strongly disagree,strongly agree,slightly disagree,moderately disagree,moderately disagree,moderately disagree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, conscientious, introverted, slightly antagonistic and neurotic",moderately agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, conscientious, introverted, antagonistic and highly neurotic",slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,strongly disagree,strongly agree,slightly disagree,moderately disagree,slightly disagree,slightly disagree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, conscientious, introverted, antagonistic and slightly neurotic",slightly disagree,moderately disagree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"highly open to experience, conscientious, introverted, antagonistic and emotionally stable",moderately agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"slightly open to experience, conscientious, introverted, antagonistic and emotionally stable",moderately agree,moderately agree,slightly disagree,moderately agree,slightly disagree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, highly conscientious, introverted, antagonistic and emotionally stable",slightly disagree,moderately agree,slightly disagree,moderately disagree,slightly disagree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,moderately disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, slightly conscientious, introverted, antagonistic and emotionally stable",moderately agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, conscientious, highly introverted, antagonistic and emotionally stable",moderately agree,moderately agree,slightly disagree,moderately disagree,slightly disagree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,moderately disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, conscientious, slightly introverted, antagonistic and emotionally stable",moderately agree,moderately agree,slightly disagree,moderately agree,slightly disagree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,moderately disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, conscientious, introverted, highly antagonistic and emotionally stable",slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, conscientious, introverted, slightly antagonistic and emotionally stable",moderately agree,moderately agree,slightly disagree,moderately disagree,slightly disagree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, conscientious, introverted, antagonistic and highly emotionally stable",moderately agree,moderately agree,slightly disagree,moderately disagree,moderately disagree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,moderately disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, conscientious, introverted, antagonistic and slightly emotionally stable",slightly disagree,moderately agree,slightly disagree,moderately disagree,slightly disagree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"highly open to experience, unconscientious, extroverted, agreeable and neurotic",strongly agree,strongly agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree
"slightly open to experience, unconscientious, extroverted, agreeable and neurotic",strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, highly unconscientious, extroverted, agreeable and neurotic",strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, slightly unconscientious, extroverted, agreeable and neurotic",strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, unconscientious, highly extroverted, agreeable and neurotic",strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, unconscientious, slightly extroverted, agreeable and neurotic",strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, unconscientious, extroverted, highly agreeable and neurotic",strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately agree,slightly disagree,slightly disagree,moderately disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, unconscientious, extroverted, slightly agreeable and neurotic",moderately agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, unconscientious, extroverted, agreeable and highly neurotic",strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, unconscientious, extroverted, agreeable and slightly neurotic",strongly agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree
"highly open to experience, unconscientious, extroverted, agreeable and emotionally stable",strongly agree,strongly agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately agree,slightly disagree,slightly disagree,moderately disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree
"slightly open to experience, unconscientious, extroverted, agreeable and emotionally stable",strongly agree,moderately agree,slightly agree,slightly disagree,slightly disagree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,moderately disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, highly unconscientious, extroverted, agreeable and emotionally stable",strongly agree,strongly agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately agree,slightly disagree,slightly disagree,moderately disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, slightly unconscientious, extroverted, agreeable and emotionally stable",strongly agree,moderately agree,slightly agree,slightly disagree,slightly disagree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,moderately disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, unconscientious, highly extroverted, agreeable and emotionally stable",strongly agree,strongly agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, unconscientious, slightly extroverted, agreeable and emotionally stable",strongly agree,strongly agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,moderately disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, unconscientious, extroverted, highly agreeable and emotionally stable",strongly agree,strongly agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately agree,slightly disagree,slightly disagree,moderately disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, unconscientious, extroverted, slightly agreeable and emotionally stable",moderately agree,moderately agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately agree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,slightly disagree,slightly disagree
"open to experience, unconscientious, extroverted, agreeable and highly emotionally stable",strongly agree,strongly agree,slightly disagree,slightly disagree,slightly disagree,strongly agree,strongly agree,slightly disagree,moderately agree,slightly disagree,slightly disagree,moderately disagree,strongly agree,slightly disagree,slightly disagree,slightly disagree
