persona,persona_dimension_list,Extraversion_score,Agreeableness_score,Conscientiousness_score,Neuroticism_score,Openness_score
"open to experience, conscientious, extroverted, highly antagonistic and neurotic","['open to experience', 'conscientious', 'extroverted', 'highly antagonistic', 'neurotic']",45,17,34,10,42
"open to experience, conscientious, extroverted, slightly antagonistic and neurotic","['open to experience', 'conscientious', 'extroverted', 'slightly antagonistic', 'neurotic']",47,28,35,12,42
"open to experience, conscientious, extroverted, antagonistic and highly neurotic","['open to experience', 'conscientious', 'extroverted', 'antagonistic', 'highly neurotic']",48,17,27,10,39
"open to experience, conscientious, extroverted, antagonistic and slightly neurotic","['open to experience', 'conscientious', 'extroverted', 'antagonistic', 'slightly neurotic']",48,27,35,20,44
"highly open to experience, conscientious, extroverted, antagonistic and emotionally stable","['highly open to experience', 'conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",50,25,42,50,45
"slightly open to experience, conscientious, extroverted, antagonistic and emotionally stable","['slightly open to experience', 'conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",44,19,45,49,32
"open to experience, highly conscientious, extroverted, antagonistic and emotionally stable","['open to experience', 'highly conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",49,25,50,50,45
"open to experience, slightly conscientious, extroverted, antagonistic and emotionally stable","['open to experience', 'slightly conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",46,25,29,48,41
"open to experience, conscientious, highly extroverted, antagonistic and emotionally stable","['open to experience', 'conscientious', 'highly extroverted', 'antagonistic', 'emotionally stable']",50,26,42,50,45
"open to experience, conscientious, slightly extroverted, antagonistic and emotionally stable","['open to experience', 'conscientious', 'slightly extroverted', 'antagonistic', 'emotionally stable']",39,25,41,48,44
"open to experience, conscientious, extroverted, highly antagonistic and emotionally stable","['open to experience', 'conscientious', 'extroverted', 'highly antagonistic', 'emotionally stable']",49,22,40,50,41
"open to experience, conscientious, extroverted, slightly antagonistic and emotionally stable","['open to experience', 'conscientious', 'extroverted', 'slightly antagonistic', 'emotionally stable']",49,31,41,48,46
"open to experience, conscientious, extroverted, antagonistic and highly emotionally stable","['open to experience', 'conscientious', 'extroverted', 'antagonistic', 'highly emotionally stable']",49,26,42,50,45
"open to experience, conscientious, extroverted, antagonistic and slightly emotionally stable","['open to experience', 'conscientious', 'extroverted', 'antagonistic', 'slightly emotionally stable']",48,25,37,38,42
"highly open to experience, conscientious, introverted, agreeable and neurotic","['highly open to experience', 'conscientious', 'introverted', 'agreeable', 'neurotic']",16,38,43,11,45
"slightly open to experience, conscientious, introverted, agreeable and neurotic","['slightly open to experience', 'conscientious', 'introverted', 'agreeable', 'neurotic']",16,34,46,11,33
"open to experience, highly conscientious, introverted, agreeable and neurotic","['open to experience', 'highly conscientious', 'introverted', 'agreeable', 'neurotic']",16,38,49,10,43
"open to experience, slightly conscientious, introverted, agreeable and neurotic","['open to experience', 'slightly conscientious', 'introverted', 'agreeable', 'neurotic']",18,35,28,12,40
"open to experience, conscientious, highly introverted, agreeable and neurotic","['open to experience', 'conscientious', 'highly introverted', 'agreeable', 'neurotic']",14,31,44,10,41
"open to experience, conscientious, slightly introverted, agreeable and neurotic","['open to experience', 'conscientious', 'slightly introverted', 'agreeable', 'neurotic']",22,37,42,15,40
"open to experience, conscientious, introverted, highly agreeable and neurotic","['open to experience', 'conscientious', 'introverted', 'highly agreeable', 'neurotic']",16,44,44,10,40
"open to experience, conscientious, introverted, slightly agreeable and neurotic","['open to experience', 'conscientious', 'introverted', 'slightly agreeable', 'neurotic']",16,27,43,17,42
"open to experience, conscientious, introverted, agreeable and highly neurotic","['open to experience', 'conscientious', 'introverted', 'agreeable', 'highly neurotic']",15,37,37,10,40
"open to experience, conscientious, introverted, agreeable and slightly neurotic","['open to experience', 'conscientious', 'introverted', 'agreeable', 'slightly neurotic']",16,38,43,20,42
"highly open to experience, conscientious, introverted, agreeable and emotionally stable","['highly open to experience', 'conscientious', 'introverted', 'agreeable', 'emotionally stable']",19,41,43,49,43
"slightly open to experience, conscientious, introverted, agreeable and emotionally stable","['slightly open to experience', 'conscientious', 'introverted', 'agreeable', 'emotionally stable']",17,38,47,49,37
"open to experience, highly conscientious, introverted, agreeable and emotionally stable","['open to experience', 'highly conscientious', 'introverted', 'agreeable', 'emotionally stable']",16,41,50,49,42
"open to experience, slightly conscientious, introverted, agreeable and emotionally stable","['open to experience', 'slightly conscientious', 'introverted', 'agreeable', 'emotionally stable']",19,40,31,47,37
"open to experience, conscientious, highly introverted, agreeable and emotionally stable","['open to experience', 'conscientious', 'highly introverted', 'agreeable', 'emotionally stable']",14,40,44,49,43
"open to experience, conscientious, slightly introverted, agreeable and emotionally stable","['open to experience', 'conscientious', 'slightly introverted', 'agreeable', 'emotionally stable']",22,40,42,47,40
"open to experience, conscientious, introverted, highly agreeable and emotionally stable","['open to experience', 'conscientious', 'introverted', 'highly agreeable', 'emotionally stable']",19,46,43,49,42
"open to experience, conscientious, introverted, slightly agreeable and emotionally stable","['open to experience', 'conscientious', 'introverted', 'slightly agreeable', 'emotionally stable']",16,27,44,47,43
"open to experience, conscientious, introverted, agreeable and highly emotionally stable","['open to experience', 'conscientious', 'introverted', 'agreeable', 'highly emotionally stable']",17,42,44,50,43
"open to experience, conscientious, introverted, agreeable and slightly emotionally stable","['open to experience', 'conscientious', 'introverted', 'agreeable', 'slightly emotionally stable']",17,36,42,36,40
"highly open to experience, conscientious, introverted, antagonistic and neurotic","['highly open to experience', 'conscientious', 'introverted', 'antagonistic', 'neurotic']",14,12,37,10,42
"slightly open to experience, conscientious, introverted, antagonistic and neurotic","['slightly open to experience', 'conscientious', 'introverted', 'antagonistic', 'neurotic']",14,10,43,10,28
"open to experience, highly conscientious, introverted, antagonistic and neurotic","['open to experience', 'highly conscientious', 'introverted', 'antagonistic', 'neurotic']",14,10,50,10,42
"open to experience, slightly conscientious, introverted, antagonistic and neurotic","['open to experience', 'slightly conscientious', 'introverted', 'antagonistic', 'neurotic']",15,15,31,10,40
"open to experience, conscientious, highly introverted, antagonistic and neurotic","['open to experience', 'conscientious', 'highly introverted', 'antagonistic', 'neurotic']",14,10,43,10,42
"open to experience, conscientious, slightly introverted, antagonistic and neurotic","['open to experience', 'conscientious', 'slightly introverted', 'antagonistic', 'neurotic']",21,16,41,10,42
"open to experience, conscientious, introverted, highly antagonistic and neurotic","['open to experience', 'conscientious', 'introverted', 'highly antagonistic', 'neurotic']",15,10,42,10,43
"open to experience, conscientious, introverted, slightly antagonistic and neurotic","['open to experience', 'conscientious', 'introverted', 'slightly antagonistic', 'neurotic']",15,19,41,10,43
"open to experience, conscientious, introverted, antagonistic and highly neurotic","['open to experience', 'conscientious', 'introverted', 'antagonistic', 'highly neurotic']",14,11,39,10,42
"open to experience, conscientious, introverted, antagonistic and slightly neurotic","['open to experience', 'conscientious', 'introverted', 'antagonistic', 'slightly neurotic']",14,13,43,18,43
"highly open to experience, conscientious, introverted, antagonistic and emotionally stable","['highly open to experience', 'conscientious', 'introverted', 'antagonistic', 'emotionally stable']",15,13,46,50,43
"slightly open to experience, conscientious, introverted, antagonistic and emotionally stable","['slightly open to experience', 'conscientious', 'introverted', 'antagonistic', 'emotionally stable']",14,11,46,48,32
"open to experience, highly conscientious, introverted, antagonistic and emotionally stable","['open to experience', 'highly conscientious', 'introverted', 'antagonistic', 'emotionally stable']",14,13,50,49,42
"open to experience, slightly conscientious, introverted, antagonistic and emotionally stable","['open to experience', 'slightly conscientious', 'introverted', 'antagonistic', 'emotionally stable']",20,19,31,48,36
"open to experience, conscientious, highly introverted, antagonistic and emotionally stable","['open to experience', 'conscientious', 'highly introverted', 'antagonistic', 'emotionally stable']",14,13,45,50,42
"open to experience, conscientious, slightly introverted, antagonistic and emotionally stable","['open to experience', 'conscientious', 'slightly introverted', 'antagonistic', 'emotionally stable']",21,19,44,47,43
"open to experience, conscientious, introverted, highly antagonistic and emotionally stable","['open to experience', 'conscientious', 'introverted', 'highly antagonistic', 'emotionally stable']",16,10,45,50,40
"open to experience, conscientious, introverted, slightly antagonistic and emotionally stable","['open to experience', 'conscientious', 'introverted', 'slightly antagonistic', 'emotionally stable']",16,24,43,48,41
"open to experience, conscientious, introverted, antagonistic and highly emotionally stable","['open to experience', 'conscientious', 'introverted', 'antagonistic', 'highly emotionally stable']",15,13,45,50,41
"open to experience, conscientious, introverted, antagonistic and slightly emotionally stable","['open to experience', 'conscientious', 'introverted', 'antagonistic', 'slightly emotionally stable']",15,13,40,38,39
"highly open to experience, unconscientious, extroverted, agreeable and neurotic","['highly open to experience', 'unconscientious', 'extroverted', 'agreeable', 'neurotic']",50,35,15,11,41
"slightly open to experience, unconscientious, extroverted, agreeable and neurotic","['slightly open to experience', 'unconscientious', 'extroverted', 'agreeable', 'neurotic']",50,31,15,12,33
"open to experience, highly unconscientious, extroverted, agreeable and neurotic","['open to experience', 'highly unconscientious', 'extroverted', 'agreeable', 'neurotic']",50,38,13,11,38
"open to experience, slightly unconscientious, extroverted, agreeable and neurotic","['open to experience', 'slightly unconscientious', 'extroverted', 'agreeable', 'neurotic']",49,39,20,12,40
"open to experience, unconscientious, highly extroverted, agreeable and neurotic","['open to experience', 'unconscientious', 'highly extroverted', 'agreeable', 'neurotic']",50,37,14,11,42
"open to experience, unconscientious, slightly extroverted, agreeable and neurotic","['open to experience', 'unconscientious', 'slightly extroverted', 'agreeable', 'neurotic']",40,30,18,13,37
"open to experience, unconscientious, extroverted, highly agreeable and neurotic","['open to experience', 'unconscientious', 'extroverted', 'highly agreeable', 'neurotic']",50,49,14,11,43
"open to experience, unconscientious, extroverted, slightly agreeable and neurotic","['open to experience', 'unconscientious', 'extroverted', 'slightly agreeable', 'neurotic']",50,27,17,20,42
"open to experience, unconscientious, extroverted, agreeable and highly neurotic","['open to experience', 'unconscientious', 'extroverted', 'agreeable', 'highly neurotic']",50,34,13,10,37
"open to experience, unconscientious, extroverted, agreeable and slightly neurotic","['open to experience', 'unconscientious', 'extroverted', 'agreeable', 'slightly neurotic']",50,35,16,20,41
"highly open to experience, unconscientious, extroverted, agreeable and emotionally stable","['highly open to experience', 'unconscientious', 'extroverted', 'agreeable', 'emotionally stable']",50,43,19,50,42
"slightly open to experience, unconscientious, extroverted, agreeable and emotionally stable","['slightly open to experience', 'unconscientious', 'extroverted', 'agreeable', 'emotionally stable']",50,40,21,47,35
"open to experience, highly unconscientious, extroverted, agreeable and emotionally stable","['open to experience', 'highly unconscientious', 'extroverted', 'agreeable', 'emotionally stable']",50,43,15,50,40
"open to experience, slightly unconscientious, extroverted, agreeable and emotionally stable","['open to experience', 'slightly unconscientious', 'extroverted', 'agreeable', 'emotionally stable']",49,44,20,46,39
"open to experience, unconscientious, highly extroverted, agreeable and emotionally stable","['open to experience', 'unconscientious', 'highly extroverted', 'agreeable', 'emotionally stable']",50,44,27,50,43
"open to experience, unconscientious, slightly extroverted, agreeable and emotionally stable","['open to experience', 'unconscientious', 'slightly extroverted', 'agreeable', 'emotionally stable']",40,33,26,46,41
"open to experience, unconscientious, extroverted, highly agreeable and emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'highly agreeable', 'emotionally stable']",50,49,28,50,42
"open to experience, unconscientious, extroverted, slightly agreeable and emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'slightly agreeable', 'emotionally stable']",50,29,18,47,43
"open to experience, unconscientious, extroverted, agreeable and highly emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'agreeable', 'highly emotionally stable']",50,39,29,50,42
"open to experience, unconscientious, extroverted, agreeable and slightly emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'agreeable', 'slightly emotionally stable']",50,35,19,36,39
"highly open to experience, unconscientious, extroverted, antagonistic and neurotic","['highly open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'neurotic']",50,17,13,10,38
"slightly open to experience, unconscientious, extroverted, antagonistic and neurotic","['slightly open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'neurotic']",50,14,14,10,28
"open to experience, highly unconscientious, extroverted, antagonistic and neurotic","['open to experience', 'highly unconscientious', 'extroverted', 'antagonistic', 'neurotic']",50,18,10,10,41
"open to experience, slightly unconscientious, extroverted, antagonistic and neurotic","['open to experience', 'slightly unconscientious', 'extroverted', 'antagonistic', 'neurotic']",50,18,14,10,40
"open to experience, unconscientious, highly extroverted, antagonistic and neurotic","['open to experience', 'unconscientious', 'highly extroverted', 'antagonistic', 'neurotic']",50,18,12,10,40
"open to experience, unconscientious, slightly extroverted, antagonistic and neurotic","['open to experience', 'unconscientious', 'slightly extroverted', 'antagonistic', 'neurotic']",39,13,16,10,38
"open to experience, unconscientious, extroverted, highly antagonistic and neurotic","['open to experience', 'unconscientious', 'extroverted', 'highly antagonistic', 'neurotic']",50,17,13,10,42
"open to experience, unconscientious, extroverted, slightly antagonistic and neurotic","['open to experience', 'unconscientious', 'extroverted', 'slightly antagonistic', 'neurotic']",50,23,17,14,40
"open to experience, unconscientious, extroverted, antagonistic and highly neurotic","['open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'highly neurotic']",50,17,13,10,36
"open to experience, unconscientious, extroverted, antagonistic and slightly neurotic","['open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'slightly neurotic']",50,19,16,22,40
"highly open to experience, unconscientious, extroverted, antagonistic and emotionally stable","['highly open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'emotionally stable']",50,19,14,50,43
"slightly open to experience, unconscientious, extroverted, antagonistic and emotionally stable","['slightly open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'emotionally stable']",50,15,15,50,31
"open to experience, highly unconscientious, extroverted, antagonistic and emotionally stable","['open to experience', 'highly unconscientious', 'extroverted', 'antagonistic', 'emotionally stable']",50,18,13,50,43
"open to experience, slightly unconscientious, extroverted, antagonistic and emotionally stable","['open to experience', 'slightly unconscientious', 'extroverted', 'antagonistic', 'emotionally stable']",50,21,17,48,42
"open to experience, unconscientious, highly extroverted, antagonistic and emotionally stable","['open to experience', 'unconscientious', 'highly extroverted', 'antagonistic', 'emotionally stable']",50,20,17,50,43
"open to experience, unconscientious, slightly extroverted, antagonistic and emotionally stable","['open to experience', 'unconscientious', 'slightly extroverted', 'antagonistic', 'emotionally stable']",41,19,17,49,41
"open to experience, unconscientious, extroverted, highly antagonistic and emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'highly antagonistic', 'emotionally stable']",50,14,20,50,40
"open to experience, unconscientious, extroverted, slightly antagonistic and emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'slightly antagonistic', 'emotionally stable']",50,25,19,48,42
"open to experience, unconscientious, extroverted, antagonistic and highly emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'highly emotionally stable']",50,19,26,50,44
"open to experience, unconscientious, extroverted, antagonistic and slightly emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'slightly emotionally stable']",50,15,14,38,38
"highly open to experience, unconscientious, introverted, agreeable and neurotic","['highly open to experience', 'unconscientious', 'introverted', 'agreeable', 'neurotic']",10,20,14,10,39
"slightly open to experience, unconscientious, introverted, agreeable and neurotic","['slightly open to experience', 'unconscientious', 'introverted', 'agreeable', 'neurotic']",11,23,14,10,27
"open to experience, highly unconscientious, introverted, agreeable and neurotic","['open to experience', 'highly unconscientious', 'introverted', 'agreeable', 'neurotic']",14,21,13,10,36
"open to experience, slightly unconscientious, introverted, agreeable and neurotic","['open to experience', 'slightly unconscientious', 'introverted', 'agreeable', 'neurotic']",16,27,20,11,39
"open to experience, unconscientious, highly introverted, agreeable and neurotic","['open to experience', 'unconscientious', 'highly introverted', 'agreeable', 'neurotic']",10,17,14,10,36
"open to experience, unconscientious, slightly introverted, agreeable and neurotic","['open to experience', 'unconscientious', 'slightly introverted', 'agreeable', 'neurotic']",21,27,20,12,39
"open to experience, unconscientious, introverted, highly agreeable and neurotic","['open to experience', 'unconscientious', 'introverted', 'highly agreeable', 'neurotic']",14,29,12,10,32
"open to experience, unconscientious, introverted, slightly agreeable and neurotic","['open to experience', 'unconscientious', 'introverted', 'slightly agreeable', 'neurotic']",10,22,17,13,41
"open to experience, unconscientious, introverted, agreeable and highly neurotic","['open to experience', 'unconscientious', 'introverted', 'agreeable', 'highly neurotic']",10,15,11,10,33
"open to experience, unconscientious, introverted, agreeable and slightly neurotic","['open to experience', 'unconscientious', 'introverted', 'agreeable', 'slightly neurotic']",11,23,20,20,41
"highly open to experience, unconscientious, introverted, agreeable and emotionally stable","['highly open to experience', 'unconscientious', 'introverted', 'agreeable', 'emotionally stable']",15,23,12,50,45
"slightly open to experience, unconscientious, introverted, agreeable and emotionally stable","['slightly open to experience', 'unconscientious', 'introverted', 'agreeable', 'emotionally stable']",12,25,22,48,27
"open to experience, highly unconscientious, introverted, agreeable and emotionally stable","['open to experience', 'highly unconscientious', 'introverted', 'agreeable', 'emotionally stable']",16,23,15,49,41
"open to experience, slightly unconscientious, introverted, agreeable and emotionally stable","['open to experience', 'slightly unconscientious', 'introverted', 'agreeable', 'emotionally stable']",19,29,22,47,40
"open to experience, unconscientious, highly introverted, agreeable and emotionally stable","['open to experience', 'unconscientious', 'highly introverted', 'agreeable', 'emotionally stable']",14,24,29,50,43
"open to experience, unconscientious, slightly introverted, agreeable and emotionally stable","['open to experience', 'unconscientious', 'slightly introverted', 'agreeable', 'emotionally stable']",22,29,26,46,42
"open to experience, unconscientious, introverted, highly agreeable and emotionally stable","['open to experience', 'unconscientious', 'introverted', 'highly agreeable', 'emotionally stable']",16,42,29,50,42
"open to experience, unconscientious, introverted, slightly agreeable and emotionally stable","['open to experience', 'unconscientious', 'introverted', 'slightly agreeable', 'emotionally stable']",16,23,19,47,41
"open to experience, unconscientious, introverted, agreeable and highly emotionally stable","['open to experience', 'unconscientious', 'introverted', 'agreeable', 'highly emotionally stable']",16,27,29,50,42
"open to experience, unconscientious, introverted, agreeable and slightly emotionally stable","['open to experience', 'unconscientious', 'introverted', 'agreeable', 'slightly emotionally stable']",12,23,20,36,39
"highly open to experience, unconscientious, introverted, antagonistic and neurotic","['highly open to experience', 'unconscientious', 'introverted', 'antagonistic', 'neurotic']",14,10,13,10,38
"slightly open to experience, unconscientious, introverted, antagonistic and neurotic","['slightly open to experience', 'unconscientious', 'introverted', 'antagonistic', 'neurotic']",14,10,13,10,26
"open to experience, highly unconscientious, introverted, antagonistic and neurotic","['open to experience', 'highly unconscientious', 'introverted', 'antagonistic', 'neurotic']",14,10,10,10,35
"open to experience, slightly unconscientious, introverted, antagonistic and neurotic","['open to experience', 'slightly unconscientious', 'introverted', 'antagonistic', 'neurotic']",14,11,15,10,38
"open to experience, unconscientious, highly introverted, antagonistic and neurotic","['open to experience', 'unconscientious', 'highly introverted', 'antagonistic', 'neurotic']",14,10,10,10,39
"open to experience, unconscientious, slightly introverted, antagonistic and neurotic","['open to experience', 'unconscientious', 'slightly introverted', 'antagonistic', 'neurotic']",21,13,12,10,39
"open to experience, unconscientious, introverted, highly antagonistic and neurotic","['open to experience', 'unconscientious', 'introverted', 'highly antagonistic', 'neurotic']",14,10,12,10,35
"open to experience, unconscientious, introverted, slightly antagonistic and neurotic","['open to experience', 'unconscientious', 'introverted', 'slightly antagonistic', 'neurotic']",14,12,16,10,40
"open to experience, unconscientious, introverted, antagonistic and highly neurotic","['open to experience', 'unconscientious', 'introverted', 'antagonistic', 'highly neurotic']",14,10,10,10,35
"open to experience, unconscientious, introverted, antagonistic and slightly neurotic","['open to experience', 'unconscientious', 'introverted', 'antagonistic', 'slightly neurotic']",14,10,15,20,34
"highly open to experience, unconscientious, introverted, antagonistic and emotionally stable","['highly open to experience', 'unconscientious', 'introverted', 'antagonistic', 'emotionally stable']",15,12,14,50,40
"slightly open to experience, unconscientious, introverted, antagonistic and emotionally stable","['slightly open to experience', 'unconscientious', 'introverted', 'antagonistic', 'emotionally stable']",14,11,12,49,29
"open to experience, highly unconscientious, introverted, antagonistic and emotionally stable","['open to experience', 'highly unconscientious', 'introverted', 'antagonistic', 'emotionally stable']",14,12,13,50,37
"open to experience, slightly unconscientious, introverted, antagonistic and emotionally stable","['open to experience', 'slightly unconscientious', 'introverted', 'antagonistic', 'emotionally stable']",15,14,17,48,39
"open to experience, unconscientious, highly introverted, antagonistic and emotionally stable","['open to experience', 'unconscientious', 'highly introverted', 'antagonistic', 'emotionally stable']",14,11,22,50,37
"open to experience, unconscientious, slightly introverted, antagonistic and emotionally stable","['open to experience', 'unconscientious', 'slightly introverted', 'antagonistic', 'emotionally stable']",21,15,24,48,39
"open to experience, unconscientious, introverted, highly antagonistic and emotionally stable","['open to experience', 'unconscientious', 'introverted', 'highly antagonistic', 'emotionally stable']",15,10,22,50,34
"open to experience, unconscientious, introverted, slightly antagonistic and emotionally stable","['open to experience', 'unconscientious', 'introverted', 'slightly antagonistic', 'emotionally stable']",14,14,23,48,40
"open to experience, unconscientious, introverted, antagonistic and highly emotionally stable","['open to experience', 'unconscientious', 'introverted', 'antagonistic', 'highly emotionally stable']",14,12,19,50,33
"open to experience, unconscientious, introverted, antagonistic and slightly emotionally stable","['open to experience', 'unconscientious', 'introverted', 'antagonistic', 'slightly emotionally stable']",14,12,17,38,38
"highly closed to experience, conscientious, extroverted, agreeable and neurotic","['highly closed to experience', 'conscientious', 'extroverted', 'agreeable', 'neurotic']",49,43,50,10,15
"slightly closed to experience, conscientious, extroverted, agreeable and neurotic","['slightly closed to experience', 'conscientious', 'extroverted', 'agreeable', 'neurotic']",42,38,48,11,28
"closed to experience, highly conscientious, extroverted, agreeable and neurotic","['closed to experience', 'highly conscientious', 'extroverted', 'agreeable', 'neurotic']",49,42,50,10,14
"closed to experience, slightly conscientious, extroverted, agreeable and neurotic","['closed to experience', 'slightly conscientious', 'extroverted', 'agreeable', 'neurotic']",46,38,29,11,16
"closed to experience, conscientious, highly extroverted, agreeable and neurotic","['closed to experience', 'conscientious', 'highly extroverted', 'agreeable', 'neurotic']",50,47,50,10,11
"closed to experience, conscientious, slightly extroverted, agreeable and neurotic","['closed to experience', 'conscientious', 'slightly extroverted', 'agreeable', 'neurotic']",31,30,50,11,19
"closed to experience, conscientious, extroverted, highly agreeable and neurotic","['closed to experience', 'conscientious', 'extroverted', 'highly agreeable', 'neurotic']",50,50,50,10,11
"closed to experience, conscientious, extroverted, slightly agreeable and neurotic","['closed to experience', 'conscientious', 'extroverted', 'slightly agreeable', 'neurotic']",49,34,50,13,20
"closed to experience, conscientious, extroverted, agreeable and highly neurotic","['closed to experience', 'conscientious', 'extroverted', 'agreeable', 'highly neurotic']",45,39,50,10,10
"closed to experience, conscientious, extroverted, agreeable and slightly neurotic","['closed to experience', 'conscientious', 'extroverted', 'agreeable', 'slightly neurotic']",49,46,50,20,16
"highly closed to experience, conscientious, extroverted, agreeable and emotionally stable","['highly closed to experience', 'conscientious', 'extroverted', 'agreeable', 'emotionally stable']",50,44,50,50,31
"slightly closed to experience, conscientious, extroverted, agreeable and emotionally stable","['slightly closed to experience', 'conscientious', 'extroverted', 'agreeable', 'emotionally stable']",45,44,50,49,32
"closed to experience, highly conscientious, extroverted, agreeable and emotionally stable","['closed to experience', 'highly conscientious', 'extroverted', 'agreeable', 'emotionally stable']",49,44,50,50,19
"closed to experience, slightly conscientious, extroverted, agreeable and emotionally stable","['closed to experience', 'slightly conscientious', 'extroverted', 'agreeable', 'emotionally stable']",46,41,32,47,16
"closed to experience, conscientious, highly extroverted, agreeable and emotionally stable","['closed to experience', 'conscientious', 'highly extroverted', 'agreeable', 'emotionally stable']",50,46,50,50,18
