persona,Whether or not someone suffered emotionally.,Whether or not some people were treated differently than others.,Whether or not someone’s action showed love for his or her country.,Whether or not someone showed a lack of respect for authority.,Whether or not someone violated standards of purity and decency.,Whether or not someone was good at math.,Whether or not someone cared for someone weak or vulnerable.,Whether or not someone acted unfairly.,Whether or not someone did something to betray his or her group.,Whether or not someone conformed to the traditions of society.,Whether or not someone did something disgusting.,Whether or not someone was cruel.,Whether or not someone was denied his or her rights.,Whether or not someone showed a lack of loyalty.,Whether or not an action caused chaos or disorder.,Whether or not someone acted in a way that God would approve of.
"open to experience, conscientious, slightly introverted, antagonistic and neurotic",somewhat relevant,very relevant,somewhat relevant,somewhat relevant,very relevant,not at all relevant,somewhat relevant,very relevant,very relevant,slightly relevant,very relevant,very relevant,very relevant,very relevant,very relevant,slightly relevant
"open to experience, conscientious, introverted, highly antagonistic and neurotic",slightly relevant,very relevant,somewhat relevant,somewhat relevant,very relevant,not very relevant,slightly relevant,extremely relevant,extremely relevant,somewhat relevant,extremely relevant,extremely relevant,very relevant,extremely relevant,very relevant,not very relevant
"open to experience, conscientious, introverted, slightly antagonistic and neurotic",very relevant,very relevant,somewhat relevant,very relevant,very relevant,somewhat relevant,very relevant,very relevant,very relevant,somewhat relevant,very relevant,very relevant,very relevant,extremely relevant,very relevant,somewhat relevant
"open to experience, conscientious, introverted, antagonistic and highly neurotic",somewhat relevant,very relevant,somewhat relevant,very relevant,very relevant,not at all relevant,very relevant,very relevant,very relevant,somewhat relevant,very relevant,very relevant,very relevant,extremely relevant,extremely relevant,somewhat relevant
"open to experience, conscientious, introverted, antagonistic and slightly neurotic",somewhat relevant,very relevant,slightly relevant,very relevant,somewhat relevant,not very relevant,somewhat relevant,very relevant,extremely relevant,not very relevant,somewhat relevant,very relevant,very relevant,somewhat relevant,very relevant,not very relevant
"highly open to experience, conscientious, introverted, antagonistic and emotionally stable",slightly relevant,somewhat relevant,slightly relevant,very relevant,somewhat relevant,not at all relevant,somewhat relevant,somewhat relevant,very relevant,not very relevant,somewhat relevant,very relevant,very relevant,somewhat relevant,very relevant,not very relevant
"slightly open to experience, conscientious, introverted, antagonistic and emotionally stable",slightly relevant,somewhat relevant,somewhat relevant,somewhat relevant,somewhat relevant,not at all relevant,not very relevant,very relevant,very relevant,somewhat relevant,somewhat relevant,somewhat relevant,somewhat relevant,somewhat relevant,very relevant,not very relevant
"open to experience, highly conscientious, introverted, antagonistic and emotionally stable",slightly relevant,very relevant,somewhat relevant,somewhat relevant,very relevant,not at all relevant,somewhat relevant,very relevant,very relevant,slightly relevant,very relevant,very relevant,very relevant,very relevant,very relevant,not very relevant
"open to experience, slightly conscientious, introverted, antagonistic and emotionally stable",not very relevant,slightly relevant,not very relevant,slightly relevant,not very relevant,i think it's not at all relevant,slightly relevant,somewhat relevant,slightly relevant,not very relevant,somewhat relevant,very relevant,slightly relevant,slightly relevant,slightly relevant,not very relevant
"open to experience, conscientious, highly introverted, antagonistic and emotionally stable",not very relevant,very relevant,slightly relevant,somewhat relevant,somewhat relevant,not at all relevant,somewhat relevant,very relevant,somewhat relevant,slightly relevant,somewhat relevant,very relevant,very relevant,very relevant,very relevant,not very relevant
"open to experience, conscientious, slightly introverted, antagonistic and emotionally stable",somewhat relevant,very relevant,slightly relevant,somewhat relevant,somewhat relevant,not at all relevant,somewhat relevant,very relevant,very relevant,slightly relevant,somewhat relevant,somewhat relevant,very relevant,very relevant,very relevant,not very relevant
"open to experience, conscientious, introverted, highly antagonistic and emotionally stable",slightly relevant,slightly relevant,not very relevant,very relevant,very relevant,not at all relevant,not very relevant,somewhat relevant,extremely relevant,not very relevant,very relevant,very relevant,not very relevant,extremely relevant,very relevant,not very relevant
"open to experience, conscientious, introverted, slightly antagonistic and emotionally stable",somewhat relevant,very relevant,slightly relevant,somewhat relevant,somewhat relevant,not at all relevant,very relevant,very relevant,very relevant,not very relevant,somewhat relevant,very relevant,very relevant,very relevant,very relevant,not at all relevant
"open to experience, conscientious, introverted, antagonistic and highly emotionally stable",slightly relevant,very relevant,somewhat relevant,somewhat relevant,somewhat relevant,not at all relevant,somewhat relevant,very relevant,very relevant,slightly relevant,not very relevant,somewhat relevant,somewhat relevant,extremely relevant,very relevant,not very relevant
"open to experience, conscientious, introverted, antagonistic and slightly emotionally stable",somewhat relevant,somewhat relevant,somewhat relevant,somewhat relevant,somewhat relevant,not at all relevant,somewhat relevant,very relevant,very relevant,not very relevant,somewhat relevant,somewhat relevant,very relevant,very relevant,very relevant,not very relevant
"highly open to experience, unconscientious, extroverted, agreeable and neurotic",very relevant,very relevant,somewhat relevant,somewhat relevant,not very relevant,"consideration: 'whether or not someone was good at math.'  
not at all relevant",extremely relevant,very relevant,very relevant,slightly relevant,very relevant,extremely relevant,extremely relevant,very relevant,somewhat relevant,not very relevant
"slightly open to experience, unconscientious, extroverted, agreeable and neurotic",very relevant,very relevant,somewhat relevant,slightly relevant,not very relevant,not at all relevant,extremely relevant,very relevant,very relevant,somewhat relevant,very relevant,very relevant,very relevant,very relevant,somewhat relevant,slightly relevant
"open to experience, highly unconscientious, extroverted, agreeable and neurotic",extremely relevant,very relevant,not very relevant,slightly relevant,slightly relevant,not at all relevant,extremely relevant,very relevant,somewhat relevant,i find it slightly relevant,somewhat relevant,extremely relevant,very relevant,somewhat relevant,somewhat relevant,not very relevant
"open to experience, slightly unconscientious, extroverted, agreeable and neurotic",extremely relevant,very relevant,somewhat relevant,somewhat relevant,somewhat relevant,not at all relevant,extremely relevant,very relevant,very relevant,somewhat relevant,somewhat relevant,extremely relevant,very relevant,very relevant,very relevant,slightly relevant
"open to experience, unconscientious, highly extroverted, agreeable and neurotic",extremely relevant,very relevant,somewhat relevant,somewhat relevant,somewhat relevant,not at all relevant,extremely relevant,very relevant,extremely relevant,slightly relevant,somewhat relevant,extremely relevant,"consideration: 'whether or not someone was denied his or her rights.'  
very relevant",somewhat relevant,somewhat relevant,not very relevant
"open to experience, unconscientious, slightly extroverted, agreeable and neurotic",extremely relevant,very relevant,somewhat relevant,somewhat relevant,i think it is somewhat relevant,not at all relevant,extremely relevant,very relevant,very relevant,slightly relevant,somewhat relevant,very relevant,very relevant,very relevant,somewhat relevant,not very relevant
"open to experience, unconscientious, extroverted, highly agreeable and neurotic",extremely relevant,very relevant,somewhat relevant,not very relevant,very relevant,not at all relevant,extremely relevant,extremely relevant,very relevant,somewhat relevant,very relevant,extremely relevant,very relevant,very relevant,extremely relevant,not very relevant
"open to experience, unconscientious, extroverted, slightly agreeable and neurotic",very relevant,very relevant,somewhat relevant,not very relevant,slightly relevant,not very relevant,somewhat relevant,somewhat relevant,somewhat relevant,slightly relevant,somewhat relevant,somewhat relevant,somewhat relevant,somewhat relevant,somewhat relevant,not very relevant
"open to experience, unconscientious, extroverted, agreeable and highly neurotic",extremely relevant,very relevant,somewhat relevant,slightly relevant,somewhat relevant,not at all relevant,extremely relevant,extremely relevant,very relevant,somewhat relevant,very relevant,extremely relevant,extremely relevant,extremely relevant,very relevant,not very relevant
"open to experience, unconscientious, extroverted, agreeable and slightly neurotic",very relevant,very relevant,somewhat relevant,slightly relevant,not very relevant,not at all relevant,very relevant,very relevant,very relevant,slightly relevant,somewhat relevant,very relevant,very relevant,very relevant,somewhat relevant,not very relevant
"highly open to experience, unconscientious, extroverted, agreeable and emotionally stable",extremely relevant,very relevant,not very relevant,not very relevant,not very relevant,not at all relevant,extremely relevant,very relevant,somewhat relevant,not very relevant,slightly relevant,extremely relevant,very relevant,somewhat relevant,not very relevant,not very relevant
"slightly open to experience, unconscientious, extroverted, agreeable and emotionally stable",very relevant,very relevant,somewhat relevant,slightly relevant,slightly relevant,not at all relevant,very relevant,very relevant,very relevant,somewhat relevant,slightly relevant,very relevant,very relevant,somewhat relevant,somewhat relevant,not very relevant
"open to experience, highly unconscientious, extroverted, agreeable and emotionally stable",very relevant,very relevant,not very relevant,not very relevant,slightly relevant,not at all relevant,very relevant,very relevant,somewhat relevant,not very relevant,not very relevant,very relevant,very relevant,very relevant,not very relevant,not at all relevant
"open to experience, slightly unconscientious, extroverted, agreeable and emotionally stable",very relevant,very relevant,somewhat relevant,slightly relevant,slightly relevant,not at all relevant,very relevant,very relevant,somewhat relevant,not very relevant,not very relevant,very relevant,very relevant,very relevant,somewhat relevant,not very relevant
"open to experience, unconscientious, highly extroverted, agreeable and emotionally stable",very relevant,very relevant,slightly relevant,slightly relevant,not very relevant,not at all relevant,very relevant,very relevant,very relevant,not very relevant,slightly relevant,extremely relevant,very relevant,somewhat relevant,not very relevant,not very relevant
"open to experience, unconscientious, slightly extroverted, agreeable and emotionally stable",very relevant,very relevant,slightly relevant,not very relevant,not very relevant,not at all relevant,very relevant,very relevant,somewhat relevant,not very relevant,slightly relevant,very relevant,very relevant,somewhat relevant,slightly relevant,not very relevant
"open to experience, unconscientious, extroverted, highly agreeable and emotionally stable",extremely relevant,extremely relevant,slightly relevant,slightly relevant,not very relevant,not at all relevant,extremely relevant,extremely relevant,very relevant,not very relevant,slightly relevant,extremely relevant,extremely relevant,very relevant,somewhat relevant,not very relevant
"open to experience, unconscientious, extroverted, slightly agreeable and emotionally stable",somewhat relevant,somewhat relevant,slightly relevant,not very relevant,slightly relevant,not at all relevant,somewhat relevant,somewhat relevant,somewhat relevant,not very relevant,slightly relevant,somewhat relevant,somewhat relevant,somewhat relevant,not very relevant,not very relevant
"open to experience, unconscientious, extroverted, agreeable and highly emotionally stable",very relevant,very relevant,somewhat relevant,slightly relevant,slightly relevant,"consideration: 'whether or not someone was good at math.'.  
not at all relevant",very relevant,very relevant,somewhat relevant,not very relevant,slightly relevant,extremely relevant,very relevant,somewhat relevant,somewhat relevant,not very relevant
"open to experience, unconscientious, extroverted, agreeable and slightly emotionally stable",very relevant,very relevant,slightly relevant,slightly relevant,slightly relevant,not at all relevant,very relevant,very relevant,somewhat relevant,not very relevant,slightly relevant,very relevant,very relevant,somewhat relevant,slightly relevant,not very relevant
"highly open to experience, unconscientious, extroverted, antagonistic and neurotic",not very relevant,not very relevant,not very relevant,very relevant,not very relevant,not very relevant,not very relevant,not very relevant,slightly relevant,not very relevant,very relevant,not very relevant,not very relevant,not very relevant,somewhat relevant,not at all relevant
