persona,Whether or not someone suffered emotionally.,Whether or not some people were treated differently than others.,Whether or not someone’s action showed love for his or her country.,Whether or not someone showed a lack of respect for authority.,Whether or not someone violated standards of purity and decency.,Whether or not someone was good at math.,Whether or not someone cared for someone weak or vulnerable.,Whether or not someone acted unfairly.,Whether or not someone did something to betray his or her group.,Whether or not someone conformed to the traditions of society.,Whether or not someone did something disgusting.,Whether or not someone was cruel.,Whether or not someone was denied his or her rights.,Whether or not someone showed a lack of loyalty.,Whether or not an action caused chaos or disorder.,Whether or not someone acted in a way that God would approve of.
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",extremely relevant,extremely relevant,somewhat relevant,extremely relevant,slightly relevant,not at all relevant,extremely relevant,extremely relevant,somewhat relevant,very relevant,slightly relevant,extremely relevant,extremely relevant,slightly relevant,extremely relevant,slightly relevant
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",somewhat relevant,somewhat relevant,slightly relevant,extremely relevant,not at all relevant,not at all relevant,somewhat relevant,extremely relevant,somewhat relevant,very relevant,slightly relevant,somewhat relevant,somewhat relevant,somewhat relevant,extremely relevant,not at all relevant
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",extremely relevant,extremely relevant,slightly relevant,slightly relevant,extremely relevant,not at all relevant,extremely relevant,extremely relevant,slightly relevant,slightly relevant,extremely relevant,extremely relevant,extremely relevant,slightly relevant,extremely relevant,extremely relevant
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",extremely relevant,extremely relevant,slightly relevant,slightly relevant,slightly relevant,not at all relevant,extremely relevant,extremely relevant,somewhat relevant,slightly relevant,slightly relevant,extremely relevant,extremely relevant,slightly relevant,very relevant,slightly relevant
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",very relevant,extremely relevant,not very relevant,slightly relevant,not at all relevant,not at all relevant,very relevant,extremely relevant,somewhat relevant,not very relevant,not very relevant,very relevant,extremely relevant,slightly relevant,very relevant,not at all relevant
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",extremely relevant,extremely relevant,not very relevant,not at all relevant,extremely relevant,not at all relevant,extremely relevant,extremely relevant,slightly relevant,not at all relevant,extremely relevant,extremely relevant,extremely relevant,slightly relevant,extremely relevant,extremely relevant
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",extremely relevant,extremely relevant,not very relevant,not at all relevant,slightly relevant,not at all relevant,extremely relevant,extremely relevant,somewhat relevant,not very relevant,slightly relevant,extremely relevant,extremely relevant,slightly relevant,somewhat relevant,slightly relevant
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",extremely relevant,extremely relevant,not very relevant,not at all relevant,not at all relevant,not at all relevant,extremely relevant,extremely relevant,somewhat relevant,not at all relevant,slightly relevant,extremely relevant,extremely relevant,slightly relevant,somewhat relevant,not at all relevant
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",extremely relevant,extremely relevant,not very relevant,extremely relevant,extremely relevant,not at all relevant,extremely relevant,extremely relevant,not at all relevant,somewhat relevant,extremely relevant,extremely relevant,extremely relevant,not at all relevant,extremely relevant,extremely relevant
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",extremely relevant,extremely relevant,not very relevant,extremely relevant,slightly relevant,not at all relevant,extremely relevant,extremely relevant,not at all relevant,somewhat relevant,slightly relevant,very relevant,extremely relevant,not at all relevant,extremely relevant,slightly relevant
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",somewhat relevant,somewhat relevant,not very relevant,extremely relevant,not at all relevant,not at all relevant,somewhat relevant,extremely relevant,not at all relevant,slightly relevant,not very relevant,somewhat relevant,somewhat relevant,not at all relevant,extremely relevant,not at all relevant
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",extremely relevant,extremely relevant,not very relevant,slightly relevant,extremely relevant,not at all relevant,extremely relevant,extremely relevant,not at all relevant,not very relevant,extremely relevant,extremely relevant,extremely relevant,not at all relevant,extremely relevant,extremely relevant
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",extremely relevant,extremely relevant,not very relevant,slightly relevant,slightly relevant,not at all relevant,extremely relevant,extremely relevant,not at all relevant,not very relevant,slightly relevant,extremely relevant,extremely relevant,not at all relevant,very relevant,slightly relevant
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",very relevant,extremely relevant,not very relevant,slightly relevant,not at all relevant,not at all relevant,very relevant,extremely relevant,not at all relevant,not very relevant,not very relevant,very relevant,extremely relevant,not at all relevant,very relevant,not at all relevant
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",extremely relevant,extremely relevant,not at all relevant,not at all relevant,extremely relevant,not at all relevant,extremely relevant,extremely relevant,not at all relevant,not at all relevant,extremely relevant,extremely relevant,extremely relevant,not at all relevant,extremely relevant,extremely relevant
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",extremely relevant,extremely relevant,not at all relevant,not at all relevant,slightly relevant,not at all relevant,extremely relevant,extremely relevant,not at all relevant,not at all relevant,slightly relevant,extremely relevant,extremely relevant,not at all relevant,very relevant,slightly relevant
"cares strongly about the well-being of others, cares strongly about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",extremely relevant,extremely relevant,not at all relevant,not at all relevant,not at all relevant,not at all relevant,extremely relevant,extremely relevant,not at all relevant,not at all relevant,somewhat relevant,extremely relevant,extremely relevant,not at all relevant,somewhat relevant,not at all relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",extremely relevant,extremely relevant,very relevant,extremely relevant,extremely relevant,not at all relevant,extremely relevant,slightly relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",very relevant,somewhat relevant,very relevant,extremely relevant,slightly relevant,not at all relevant,very relevant,slightly relevant,extremely relevant,very relevant,slightly relevant,somewhat relevant,somewhat relevant,extremely relevant,very relevant,slightly relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",not very relevant,slightly relevant,somewhat relevant,extremely relevant,not at all relevant,not at all relevant,somewhat relevant,slightly relevant,extremely relevant,very relevant,slightly relevant,slightly relevant,slightly relevant,extremely relevant,somewhat relevant,not at all relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",extremely relevant,extremely relevant,slightly relevant,slightly relevant,extremely relevant,not at all relevant,extremely relevant,somewhat relevant,extremely relevant,slightly relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",extremely relevant,somewhat relevant,slightly relevant,slightly relevant,slightly relevant,not at all relevant,extremely relevant,slightly relevant,extremely relevant,slightly relevant,slightly relevant,very relevant,very relevant,extremely relevant,somewhat relevant,slightly relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",somewhat relevant,slightly relevant,slightly relevant,slightly relevant,not at all relevant,not at all relevant,very relevant,slightly relevant,extremely relevant,not very relevant,slightly relevant,somewhat relevant,slightly relevant,extremely relevant,somewhat relevant,not at all relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",extremely relevant,extremely relevant,slightly relevant,not at all relevant,extremely relevant,not at all relevant,extremely relevant,slightly relevant,extremely relevant,not at all relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",very relevant,somewhat relevant,slightly relevant,not at all relevant,slightly relevant,not at all relevant,extremely relevant,slightly relevant,extremely relevant,not at all relevant,slightly relevant,very relevant,very relevant,extremely relevant,somewhat relevant,slightly relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",very relevant,slightly relevant,not very relevant,not at all relevant,not at all relevant,not at all relevant,very relevant,slightly relevant,extremely relevant,not at all relevant,slightly relevant,very relevant,slightly relevant,extremely relevant,somewhat relevant,not at all relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",extremely relevant,extremely relevant,somewhat relevant,extremely relevant,extremely relevant,not at all relevant,extremely relevant,slightly relevant,somewhat relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,slightly relevant,extremely relevant,extremely relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",very relevant,slightly relevant,somewhat relevant,extremely relevant,slightly relevant,not at all relevant,very relevant,slightly relevant,slightly relevant,very relevant,slightly relevant,somewhat relevant,somewhat relevant,slightly relevant,very relevant,slightly relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",not very relevant,slightly relevant,slightly relevant,extremely relevant,not at all relevant,not at all relevant,slightly relevant,slightly relevant,slightly relevant,very relevant,not very relevant,slightly relevant,slightly relevant,slightly relevant,extremely relevant,not at all relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",extremely relevant,extremely relevant,slightly relevant,slightly relevant,extremely relevant,not at all relevant,extremely relevant,slightly relevant,slightly relevant,slightly relevant,extremely relevant,extremely relevant,extremely relevant,slightly relevant,extremely relevant,extremely relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",extremely relevant,very relevant,slightly relevant,slightly relevant,slightly relevant,not at all relevant,extremely relevant,slightly relevant,slightly relevant,slightly relevant,slightly relevant,extremely relevant,extremely relevant,slightly relevant,very relevant,slightly relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",very relevant,slightly relevant,slightly relevant,slightly relevant,not at all relevant,not at all relevant,very relevant,slightly relevant,slightly relevant,not very relevant,slightly relevant,somewhat relevant,somewhat relevant,slightly relevant,somewhat relevant,not at all relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",extremely relevant,extremely relevant,not very relevant,not at all relevant,extremely relevant,not at all relevant,extremely relevant,slightly relevant,slightly relevant,not at all relevant,extremely relevant,extremely relevant,extremely relevant,slightly relevant,extremely relevant,extremely relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",extremely relevant,very relevant,not very relevant,not at all relevant,slightly relevant,not at all relevant,extremely relevant,slightly relevant,slightly relevant,not at all relevant,slightly relevant,very relevant,very relevant,slightly relevant,somewhat relevant,not at all relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",extremely relevant,very relevant,not very relevant,not at all relevant,not at all relevant,not at all relevant,extremely relevant,slightly relevant,slightly relevant,not at all relevant,slightly relevant,very relevant,very relevant,slightly relevant,somewhat relevant,not at all relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",extremely relevant,extremely relevant,not very relevant,extremely relevant,extremely relevant,not at all relevant,extremely relevant,slightly relevant,not at all relevant,very relevant,extremely relevant,extremely relevant,very relevant,not at all relevant,extremely relevant,extremely relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",very relevant,slightly relevant,slightly relevant,extremely relevant,slightly relevant,not at all relevant,very relevant,slightly relevant,not at all relevant,somewhat relevant,slightly relevant,somewhat relevant,somewhat relevant,not at all relevant,very relevant,slightly relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",somewhat relevant,slightly relevant,not very relevant,extremely relevant,not at all relevant,not at all relevant,somewhat relevant,slightly relevant,not at all relevant,very relevant,not very relevant,slightly relevant,slightly relevant,not at all relevant,extremely relevant,not at all relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",extremely relevant,extremely relevant,not very relevant,slightly relevant,extremely relevant,not at all relevant,extremely relevant,somewhat relevant,not at all relevant,not very relevant,extremely relevant,extremely relevant,extremely relevant,not at all relevant,extremely relevant,extremely relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",extremely relevant,very relevant,not very relevant,slightly relevant,slightly relevant,not at all relevant,extremely relevant,slightly relevant,not at all relevant,not very relevant,slightly relevant,very relevant,very relevant,not at all relevant,very relevant,slightly relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",very relevant,very relevant,not very relevant,slightly relevant,not at all relevant,not at all relevant,very relevant,slightly relevant,not at all relevant,not very relevant,slightly relevant,very relevant,very relevant,not at all relevant,very relevant,not at all relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",extremely relevant,extremely relevant,not at all relevant,not at all relevant,extremely relevant,not at all relevant,extremely relevant,somewhat relevant,not at all relevant,not at all relevant,extremely relevant,extremely relevant,extremely relevant,not at all relevant,extremely relevant,extremely relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",extremely relevant,very relevant,not very relevant,not at all relevant,slightly relevant,not at all relevant,extremely relevant,slightly relevant,not at all relevant,not at all relevant,slightly relevant,very relevant,extremely relevant,not at all relevant,somewhat relevant,slightly relevant
"cares strongly about the well-being of others, cares slightly about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",extremely relevant,very relevant,not at all relevant,not at all relevant,not at all relevant,not at all relevant,extremely relevant,slightly relevant,not at all relevant,not at all relevant,slightly relevant,extremely relevant,very relevant,not at all relevant,very relevant,not at all relevant
"cares strongly about the well-being of others, is not concerned with reciprocity or fairness, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",very relevant,slightly relevant,very relevant,extremely relevant,extremely relevant,not at all relevant,extremely relevant,slightly relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,somewhat relevant,extremely relevant,extremely relevant,extremely relevant
"cares strongly about the well-being of others, is not concerned with reciprocity or fairness, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",very relevant,not very relevant,very relevant,extremely relevant,slightly relevant,not at all relevant,very relevant,not very relevant,extremely relevant,very relevant,slightly relevant,slightly relevant,somewhat relevant,extremely relevant,extremely relevant,slightly relevant
"cares strongly about the well-being of others, is not concerned with reciprocity or fairness, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",not very relevant,not at all relevant,somewhat relevant,extremely relevant,not at all relevant,not at all relevant,slightly relevant,not at all relevant,extremely relevant,very relevant,not very relevant,not very relevant,not very relevant,extremely relevant,very relevant,not at all relevant
"cares strongly about the well-being of others, is not concerned with reciprocity or fairness, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",extremely relevant,extremely relevant,slightly relevant,slightly relevant,extremely relevant,not at all relevant,extremely relevant,extremely relevant,extremely relevant,somewhat relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant
"cares strongly about the well-being of others, is not concerned with reciprocity or fairness, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",extremely relevant,somewhat relevant,slightly relevant,slightly relevant,slightly relevant,not at all relevant,extremely relevant,not very relevant,extremely relevant,slightly relevant,slightly relevant,very relevant,very relevant,extremely relevant,somewhat relevant,slightly relevant
"cares strongly about the well-being of others, is not concerned with reciprocity or fairness, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",somewhat relevant,not very relevant,slightly relevant,slightly relevant,not at all relevant,not at all relevant,very relevant,not at all relevant,extremely relevant,not very relevant,not very relevant,somewhat relevant,not very relevant,extremely relevant,somewhat relevant,not at all relevant
"cares strongly about the well-being of others, is not concerned with reciprocity or fairness, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",extremely relevant,extremely relevant,not at all relevant,not at all relevant,extremely relevant,not at all relevant,extremely relevant,not at all relevant,extremely relevant,not at all relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant
"cares strongly about the well-being of others, is not concerned with reciprocity or fairness, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",very relevant,very relevant,not at all relevant,not at all relevant,slightly relevant,not at all relevant,extremely relevant,not at all relevant,extremely relevant,not at all relevant,slightly relevant,somewhat relevant,very relevant,extremely relevant,somewhat relevant,slightly relevant
"cares strongly about the well-being of others, is not concerned with reciprocity or fairness, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",very relevant,somewhat relevant,not at all relevant,not at all relevant,not at all relevant,not at all relevant,extremely relevant,not at all relevant,extremely relevant,not at all relevant,not at all relevant,very relevant,slightly relevant,extremely relevant,somewhat relevant,not at all relevant
"cares strongly about the well-being of others, is not concerned with reciprocity or fairness, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",extremely relevant,extremely relevant,somewhat relevant,extremely relevant,extremely relevant,not at all relevant,extremely relevant,somewhat relevant,somewhat relevant,extremely relevant,extremely relevant,extremely relevant,somewhat relevant,slightly relevant,extremely relevant,extremely relevant
"cares strongly about the well-being of others, is not concerned with reciprocity or fairness, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",very relevant,slightly relevant,slightly relevant,extremely relevant,slightly relevant,not at all relevant,very relevant,not very relevant,somewhat relevant,very relevant,slightly relevant,somewhat relevant,somewhat relevant,slightly relevant,very relevant,slightly relevant
"cares strongly about the well-being of others, is not concerned with reciprocity or fairness, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",not very relevant,slightly relevant,somewhat relevant,extremely relevant,not at all relevant,not at all relevant,slightly relevant,not at all relevant,slightly relevant,very relevant,not very relevant,not very relevant,not very relevant,slightly relevant,extremely relevant,not at all relevant
