persona,Am the life of the party.,Feel little concern for others.,Am always prepared.,Get stressed out easily.,Have a rich vocabulary.,Don't talk a lot.,Am interested in people.,Leave my belongings around.,Am relaxed most of the time.,Have difficulty understanding abstract ideas.,Feel comfortable around people.,Insult people.,Pay attention to details.,Worry about things.,Have a vivid imagination.,Keep in the background.,Sympathize with others' feelings.,Make a mess of things.,Seldom feel blue.,Am not interested in abstract ideas.,Start conversations.,Am not interested in other people's problems.,Get chores done right away.,Am easily disturbed.,Have excellent ideas.,Have little to say.,Have a soft heart.,Often forget to put things back in their proper place.,Get upset easily.,Do not have a good imagination.,Talk to a lot of different people at parties.,Am not really interested in others.,Like order.,Change my mood a lot.,Am quick to understand things.,Don't like to draw attention to myself.,Take time out for others.,Shirk my duties.,Have frequent mood swings.,Use difficult words.,Don't mind being the center of attention.,Feel others' emotions.,Follow a schedule.,Get irritated easily.,Spend time reflecting on things.,Am quiet around strangers.,Make people feel at ease.,Am exacting in my work.,Often feel blue.,Am full of ideas.
"highly open to experience, conscientious, extroverted, agreeable and emotionally stable",Agree.,Strongly disagree.,Strongly agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Disagree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Strongly disagree.,Disagree.,Agree.,Strongly agree.,Strongly agree.,Strongly agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Strongly agree.,Disagree.,Agree.
"slightly open to experience, conscientious, extroverted, agreeable and emotionally stable",Disagree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Disagree.,Agree.,Disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Strongly disagree.,Disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Strongly disagree.,Disagree.,Agree.,Agree.,Strongly agree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Agree.,Strongly disagree.,Agree.
"open to experience, highly conscientious, extroverted, agreeable and emotionally stable",Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Agree
"open to experience, slightly conscientious, extroverted, agreeable and emotionally stable",Disagree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Strongly disagree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Strongly disagree.,Agree.,Agree.,Strongly agree.,Agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Agree.,Strongly disagree.,Agree.
"open to experience, conscientious, highly extroverted, agreeable and emotionally stable",Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree
"open to experience, conscientious, slightly extroverted, agreeable and emotionally stable",Disagree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly disagree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly disagree.,Agree.,Agree.,Strongly agree.,Agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Agree.,Strongly disagree.,Agree.
"open to experience, conscientious, extroverted, highly agreeable and emotionally stable",Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Agree
"open to experience, conscientious, extroverted, slightly agreeable and emotionally stable",Agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Strongly disagree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly disagree.,Agree.,Agree.,Strongly agree.,Strongly agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Strongly agree.,Strongly disagree.,Agree.
"open to experience, conscientious, extroverted, agreeable and highly emotionally stable",Agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly disagree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly disagree.,Agree.,Strongly agree.,Strongly agree.,Strongly agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Strongly agree.,Strongly disagree.,Agree.
"open to experience, conscientious, extroverted, agreeable and slightly emotionally stable",Agree,Strongly disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Disagree,Strongly agree,Agree,Disagree,Agree
"highly open to experience, conscientious, extroverted, antagonistic and neurotic",Agree.,Disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Strongly agree.,Disagree.,Disagree.,Disagree.,Strongly agree.,Agree.,Agree.,Strongly agree.,Strongly agree.,Disagree.,Agree.,Disagree.,Disagree.,Disagree.,Strongly agree.,Disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Agree.,Strongly agree.,Agree.,Agree.,Strongly agree.,Agree.,Disagree.,Agree.,Agree.,Strongly agree.,Strongly agree.
"slightly open to experience, conscientious, extroverted, antagonistic and neurotic",Agree.,Disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Strongly agree.,Disagree.,Disagree.,Disagree.,Strongly agree.,Agree.,Strongly agree.,Strongly agree.,Agree.,Disagree.,Agree.,Disagree.,Disagree.,Disagree.,Strongly agree.,Disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Strongly agree.,Agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Agree.,Strongly agree.,Agree.,Agree.,Strongly agree.,Agree.,Disagree.,Agree.,Strongly agree.,Agree.,Strongly agree.
"open to experience, highly conscientious, extroverted, antagonistic and neurotic",Agree,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Agree,Disagree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Agree,Strongly agree
"open to experience, slightly conscientious, extroverted, antagonistic and neurotic",Agree.,Disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Agree.,Disagree.,Disagree.,Disagree.,Agree.,Disagree.,Agree.,Strongly agree.,Strongly agree.,Disagree.,Agree.,Disagree.,Disagree.,Disagree.,Strongly agree.,Disagree.,Agree.,Agree.,Agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Agree.,Agree.,Agree.,Agree.,Strongly agree.,Agree.,Disagree.,Agree.,Agree.,Agree.,Strongly agree.
"open to experience, conscientious, highly extroverted, antagonistic and neurotic",Strongly agree.,Disagree.,Strongly agree.,Strongly agree.,Agree.,Strongly disagree.,Strongly agree.,Disagree.,Disagree.,Disagree.,Strongly agree.,Agree.,Strongly agree.,Strongly agree.,Agree.,Strongly disagree.,Disagree.,Disagree.,Disagree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Strongly agree.,Agree.,Strongly disagree.,Disagree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Strongly agree.,Agree.,Strongly disagree.,Disagree.,Disagree.,Strongly agree.,Agree.,Strongly agree.,Disagree.,Strongly agree.,Strongly agree.,Agree.,Disagree.,Disagree.,Strongly agree.,Strongly agree.,Agree.
"open to experience, conscientious, slightly extroverted, antagonistic and neurotic",Disagree.,Disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Agree.,Disagree.,Disagree.,Disagree.,Agree.,Disagree.,Strongly agree.,Strongly agree.,Strongly agree.,Disagree.,Agree.,Disagree.,Disagree.,Disagree.,Agree.,Disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Strongly agree.,Agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Agree.,Agree.,Agree.,Agree.,Strongly agree.,Agree.,Disagree.,Agree.,Agree.,Strongly agree.,Strongly agree.
"open to experience, conscientious, extroverted, highly antagonistic and neurotic",Strongly agree.,Disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Strongly agree.,Disagree.,Disagree.,Disagree.,Strongly agree.,Agree.,Agree.,Strongly agree.,Strongly agree.,Disagree.,Neither agree nor disagree.,Disagree.,Disagree.,Disagree.,Strongly agree.,Disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Neither agree nor disagree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Neither agree nor disagree.,Disagree.,Strongly agree.,Agree.,Strongly agree.,Neither agree nor disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Neither agree nor disagree.,Agree.,Disagree.,Strongly agree.
"open to experience, conscientious, extroverted, slightly antagonistic and neurotic",Agree.,Disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Strongly agree.,Disagree.,Disagree.,Disagree.,Agree.,Disagree.,Strongly agree.,Strongly agree.,Strongly agree.,Disagree.,Agree.,Disagree.,Disagree.,Disagree.,Strongly agree.,Disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Agree.,Strongly agree.,Agree.,Agree.,Strongly agree.,Agree.,Disagree.,Agree.,Agree.,Agree.,Strongly agree.
"open to experience, conscientious, extroverted, antagonistic and highly neurotic",Strongly agree.,Disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Strongly agree.,Disagree.,Disagree.,Disagree.,Strongly agree.,Agree.,Agree.,Strongly agree.,Strongly agree.,Disagree.,Agree.,Disagree.,Disagree.,Disagree.,Strongly agree.,Disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Agree.,Strongly agree.,Agree.,Agree.,Strongly agree.,Agree.,Disagree.,Agree.,Agree.,Agree.,Strongly agree.
"open to experience, conscientious, extroverted, antagonistic and slightly neurotic",Strongly agree.,Disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Strongly agree.,Disagree.,Disagree.,Disagree.,Strongly agree.,Agree.,Agree.,Strongly agree.,Strongly agree.,Disagree.,Agree.,Disagree.,Disagree.,Disagree.,Strongly agree.,Disagree.,Disagree.,Strongly agree.,Agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Disagree.,Agree.,Strongly agree.,Agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Agree.,Strongly agree.,Agree.,Disagree.,Strongly agree.,Agree.,Disagree.,Agree.,Agree.,Agree.,Strongly agree.
"highly open to experience, conscientious, extroverted, antagonistic and emotionally stable",Agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly disagree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly disagree.,Agree.,Strongly agree.,Strongly agree.,Strongly agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Strongly agree.,Strongly disagree.,Agree.
"slightly open to experience, conscientious, extroverted, antagonistic and emotionally stable",Agree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Strongly disagree.,Strongly disagree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Strongly disagree.,Strongly disagree.,Agree.,Agree.,Agree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Agree.,Strongly disagree.,Agree.
"open to experience, highly conscientious, extroverted, antagonistic and emotionally stable",Agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Disagree.,Strongly agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Disagree.,Strongly disagree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Disagree.,Strongly agree.,Disagree.,Strongly disagree.,Agree.,Strongly agree.,Strongly agree.,Agree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Strongly agree.,Strongly disagree.,Agree.
"open to experience, slightly conscientious, extroverted, antagonistic and emotionally stable",Disagree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Disagree.,Strongly agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Disagree.,Strongly disagree.,Strongly disagree.,Agree.,Disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Disagree.,Strongly disagree.,Agree.,Agree.,Agree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Agree.,Strongly disagree.,Agree.
"open to experience, conscientious, highly extroverted, antagonistic and emotionally stable",Strongly agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Agree.,Strongly disagree.,Strongly agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Disagree.,Strongly agree.,Disagree.,Strongly agree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Strongly disagree.,Strongly agree.,Disagree.,Strongly disagree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Strongly agree.,Strongly disagree.,Agree.,Strongly disagree.,Strongly agree.,Disagree.,Strongly disagree.,Agree.,Strongly agree.,Strongly agree.,Disagree.,Strongly disagree.,Agree.,Disagree.,Strongly agree.,Strongly agree.,Strongly disagree.,Strongly agree.
"open to experience, conscientious, slightly extroverted, antagonistic and emotionally stable",Disagree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Strongly disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Strongly disagree.,Strongly disagree.,Strongly disagree.,Agree.,Disagree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Strongly disagree.,Strongly disagree.,Agree.,Agree.,Agree.,Agree.,Strongly disagree.,Agree.,Disagree.,Agree.,Agree.,Strongly disagree.,Agree.
