persona,persona_dimension_list,Harm_Care_score,Fairness_Reciprocity_score,In-group_Loyalty_score,Authority_Respect_score,Purity_Sanctity_score
"open to experience, conscientious, extroverted, highly antagonistic and neurotic","['open to experience', 'conscientious', 'extroverted', 'highly antagonistic', 'neurotic']",9,15,12,10,10
"open to experience, conscientious, extroverted, slightly antagonistic and neurotic","['open to experience', 'conscientious', 'extroverted', 'slightly antagonistic', 'neurotic']",11,15,12,11,9
"open to experience, conscientious, extroverted, antagonistic and highly neurotic","['open to experience', 'conscientious', 'extroverted', 'antagonistic', 'highly neurotic']",12,15,12,10,10
"open to experience, conscientious, extroverted, antagonistic and slightly neurotic","['open to experience', 'conscientious', 'extroverted', 'antagonistic', 'slightly neurotic']",10,15,13,11,11
"highly open to experience, conscientious, extroverted, antagonistic and emotionally stable","['highly open to experience', 'conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",7,15,12,10,7
"slightly open to experience, conscientious, extroverted, antagonistic and emotionally stable","['slightly open to experience', 'conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",8,11,13,10,10
"open to experience, highly conscientious, extroverted, antagonistic and emotionally stable","['open to experience', 'highly conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",7,15,13,11,10
"open to experience, slightly conscientious, extroverted, antagonistic and emotionally stable","['open to experience', 'slightly conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",9,10,12,9,6
"open to experience, conscientious, highly extroverted, antagonistic and emotionally stable","['open to experience', 'conscientious', 'highly extroverted', 'antagonistic', 'emotionally stable']",9,15,13,10,7
"open to experience, conscientious, slightly extroverted, antagonistic and emotionally stable","['open to experience', 'conscientious', 'slightly extroverted', 'antagonistic', 'emotionally stable']",9,14,12,11,8
"open to experience, conscientious, extroverted, highly antagonistic and emotionally stable","['open to experience', 'conscientious', 'extroverted', 'highly antagonistic', 'emotionally stable']",7,15,12,10,7
"open to experience, conscientious, extroverted, slightly antagonistic and emotionally stable","['open to experience', 'conscientious', 'extroverted', 'slightly antagonistic', 'emotionally stable']",11,14,12,9,8
"open to experience, conscientious, extroverted, antagonistic and highly emotionally stable","['open to experience', 'conscientious', 'extroverted', 'antagonistic', 'highly emotionally stable']",9,15,12,11,7
"open to experience, conscientious, extroverted, antagonistic and slightly emotionally stable","['open to experience', 'conscientious', 'extroverted', 'antagonistic', 'slightly emotionally stable']",9,13,13,10,8
"highly open to experience, conscientious, introverted, agreeable and neurotic","['highly open to experience', 'conscientious', 'introverted', 'agreeable', 'neurotic']",15,15,12,12,12
"slightly open to experience, conscientious, introverted, agreeable and neurotic","['slightly open to experience', 'conscientious', 'introverted', 'agreeable', 'neurotic']",15,15,13,12,13
"open to experience, highly conscientious, introverted, agreeable and neurotic","['open to experience', 'highly conscientious', 'introverted', 'agreeable', 'neurotic']",15,15,13,13,13
"open to experience, slightly conscientious, introverted, agreeable and neurotic","['open to experience', 'slightly conscientious', 'introverted', 'agreeable', 'neurotic']",15,15,12,9,10
"open to experience, conscientious, highly introverted, agreeable and neurotic","['open to experience', 'conscientious', 'highly introverted', 'agreeable', 'neurotic']",15,15,12,13,12
"open to experience, conscientious, slightly introverted, agreeable and neurotic","['open to experience', 'conscientious', 'slightly introverted', 'agreeable', 'neurotic']",15,15,13,12,11
"open to experience, conscientious, introverted, highly agreeable and neurotic","['open to experience', 'conscientious', 'introverted', 'highly agreeable', 'neurotic']",15,15,13,13,12
"open to experience, conscientious, introverted, slightly agreeable and neurotic","['open to experience', 'conscientious', 'introverted', 'slightly agreeable', 'neurotic']",14,14,11,10,9
"open to experience, conscientious, introverted, agreeable and highly neurotic","['open to experience', 'conscientious', 'introverted', 'agreeable', 'highly neurotic']",15,15,12,12,13
"open to experience, conscientious, introverted, agreeable and slightly neurotic","['open to experience', 'conscientious', 'introverted', 'agreeable', 'slightly neurotic']",15,15,12,10,11
"highly open to experience, conscientious, introverted, agreeable and emotionally stable","['highly open to experience', 'conscientious', 'introverted', 'agreeable', 'emotionally stable']",15,15,12,10,9
"slightly open to experience, conscientious, introverted, agreeable and emotionally stable","['slightly open to experience', 'conscientious', 'introverted', 'agreeable', 'emotionally stable']",15,15,13,10,11
"open to experience, highly conscientious, introverted, agreeable and emotionally stable","['open to experience', 'highly conscientious', 'introverted', 'agreeable', 'emotionally stable']",15,15,13,12,11
"open to experience, slightly conscientious, introverted, agreeable and emotionally stable","['open to experience', 'slightly conscientious', 'introverted', 'agreeable', 'emotionally stable']",15,15,9,8,8
"open to experience, conscientious, highly introverted, agreeable and emotionally stable","['open to experience', 'conscientious', 'highly introverted', 'agreeable', 'emotionally stable']",15,15,12,10,9
"open to experience, conscientious, slightly introverted, agreeable and emotionally stable","['open to experience', 'conscientious', 'slightly introverted', 'agreeable', 'emotionally stable']",15,15,13,10,9
"open to experience, conscientious, introverted, highly agreeable and emotionally stable","['open to experience', 'conscientious', 'introverted', 'highly agreeable', 'emotionally stable']",15,15,13,11,11
"open to experience, conscientious, introverted, slightly agreeable and emotionally stable","['open to experience', 'conscientious', 'introverted', 'slightly agreeable', 'emotionally stable']",12,14,8,9,8
"open to experience, conscientious, introverted, agreeable and highly emotionally stable","['open to experience', 'conscientious', 'introverted', 'agreeable', 'highly emotionally stable']",15,15,12,10,9
"open to experience, conscientious, introverted, agreeable and slightly emotionally stable","['open to experience', 'conscientious', 'introverted', 'agreeable', 'slightly emotionally stable']",15,15,12,9,8
"highly open to experience, conscientious, introverted, antagonistic and neurotic","['highly open to experience', 'conscientious', 'introverted', 'antagonistic', 'neurotic']",9,13,11,10,10
"slightly open to experience, conscientious, introverted, antagonistic and neurotic","['slightly open to experience', 'conscientious', 'introverted', 'antagonistic', 'neurotic']",9,11,12,11,11
"open to experience, highly conscientious, introverted, antagonistic and neurotic","['open to experience', 'highly conscientious', 'introverted', 'antagonistic', 'neurotic']",9,15,12,10,10
"open to experience, slightly conscientious, introverted, antagonistic and neurotic","['open to experience', 'slightly conscientious', 'introverted', 'antagonistic', 'neurotic']",10,11,12,10,9
"open to experience, conscientious, highly introverted, antagonistic and neurotic","['open to experience', 'conscientious', 'highly introverted', 'antagonistic', 'neurotic']",9,13,11,10,10
"open to experience, conscientious, slightly introverted, antagonistic and neurotic","['open to experience', 'conscientious', 'slightly introverted', 'antagonistic', 'neurotic']",10,15,12,11,11
"open to experience, conscientious, introverted, highly antagonistic and neurotic","['open to experience', 'conscientious', 'introverted', 'highly antagonistic', 'neurotic']",7,15,11,10,10
"open to experience, conscientious, introverted, slightly antagonistic and neurotic","['open to experience', 'conscientious', 'introverted', 'slightly antagonistic', 'neurotic']",11,15,12,12,9
"open to experience, conscientious, introverted, antagonistic and highly neurotic","['open to experience', 'conscientious', 'introverted', 'antagonistic', 'highly neurotic']",12,15,12,10,10
"open to experience, conscientious, introverted, antagonistic and slightly neurotic","['open to experience', 'conscientious', 'introverted', 'antagonistic', 'slightly neurotic']",10,15,12,11,11
"highly open to experience, conscientious, introverted, antagonistic and emotionally stable","['highly open to experience', 'conscientious', 'introverted', 'antagonistic', 'emotionally stable']",7,10,12,10,8
"slightly open to experience, conscientious, introverted, antagonistic and emotionally stable","['slightly open to experience', 'conscientious', 'introverted', 'antagonistic', 'emotionally stable']",8,10,12,11,9
"open to experience, highly conscientious, introverted, antagonistic and emotionally stable","['open to experience', 'highly conscientious', 'introverted', 'antagonistic', 'emotionally stable']",8,13,12,11,10
"open to experience, slightly conscientious, introverted, antagonistic and emotionally stable","['open to experience', 'slightly conscientious', 'introverted', 'antagonistic', 'emotionally stable']",8,9,10,8,5
"open to experience, conscientious, highly introverted, antagonistic and emotionally stable","['open to experience', 'conscientious', 'highly introverted', 'antagonistic', 'emotionally stable']",8,10,11,10,8
"open to experience, conscientious, slightly introverted, antagonistic and emotionally stable","['open to experience', 'conscientious', 'slightly introverted', 'antagonistic', 'emotionally stable']",9,13,12,12,8
"open to experience, conscientious, introverted, highly antagonistic and emotionally stable","['open to experience', 'conscientious', 'introverted', 'highly antagonistic', 'emotionally stable']",6,11,11,10,8
"open to experience, conscientious, introverted, slightly antagonistic and emotionally stable","['open to experience', 'conscientious', 'introverted', 'slightly antagonistic', 'emotionally stable']",10,13,11,9,7
"open to experience, conscientious, introverted, antagonistic and highly emotionally stable","['open to experience', 'conscientious', 'introverted', 'antagonistic', 'highly emotionally stable']",9,10,12,11,8
"open to experience, conscientious, introverted, antagonistic and slightly emotionally stable","['open to experience', 'conscientious', 'introverted', 'antagonistic', 'slightly emotionally stable']",9,10,12,11,8
"highly open to experience, unconscientious, extroverted, agreeable and neurotic","['highly open to experience', 'unconscientious', 'extroverted', 'agreeable', 'neurotic']",12,9,6,6,5
"slightly open to experience, unconscientious, extroverted, agreeable and neurotic","['slightly open to experience', 'unconscientious', 'extroverted', 'agreeable', 'neurotic']",9,8,8,5,6
"open to experience, highly unconscientious, extroverted, agreeable and neurotic","['open to experience', 'highly unconscientious', 'extroverted', 'agreeable', 'neurotic']",10,9,7,3,4
"open to experience, slightly unconscientious, extroverted, agreeable and neurotic","['open to experience', 'slightly unconscientious', 'extroverted', 'agreeable', 'neurotic']",11,9,8,5,6
"open to experience, unconscientious, highly extroverted, agreeable and neurotic","['open to experience', 'unconscientious', 'highly extroverted', 'agreeable', 'neurotic']",12,9,9,4,5
"open to experience, unconscientious, slightly extroverted, agreeable and neurotic","['open to experience', 'unconscientious', 'slightly extroverted', 'agreeable', 'neurotic']",8,7,6,4,6
"open to experience, unconscientious, extroverted, highly agreeable and neurotic","['open to experience', 'unconscientious', 'extroverted', 'highly agreeable', 'neurotic']",15,15,12,8,7
"open to experience, unconscientious, extroverted, slightly agreeable and neurotic","['open to experience', 'unconscientious', 'extroverted', 'slightly agreeable', 'neurotic']",6,6,6,6,4
"open to experience, unconscientious, extroverted, agreeable and highly neurotic","['open to experience', 'unconscientious', 'extroverted', 'agreeable', 'highly neurotic']",12,11,12,7,7
"open to experience, unconscientious, extroverted, agreeable and slightly neurotic","['open to experience', 'unconscientious', 'extroverted', 'agreeable', 'slightly neurotic']",8,7,6,5,6
"highly open to experience, unconscientious, extroverted, agreeable and emotionally stable","['highly open to experience', 'unconscientious', 'extroverted', 'agreeable', 'emotionally stable']",13,13,6,3,3
"slightly open to experience, unconscientious, extroverted, agreeable and emotionally stable","['slightly open to experience', 'unconscientious', 'extroverted', 'agreeable', 'emotionally stable']",9,8,7,4,5
"open to experience, highly unconscientious, extroverted, agreeable and emotionally stable","['open to experience', 'highly unconscientious', 'extroverted', 'agreeable', 'emotionally stable']",10,8,6,2,3
"open to experience, slightly unconscientious, extroverted, agreeable and emotionally stable","['open to experience', 'slightly unconscientious', 'extroverted', 'agreeable', 'emotionally stable']",9,9,7,5,6
"open to experience, unconscientious, highly extroverted, agreeable and emotionally stable","['open to experience', 'unconscientious', 'highly extroverted', 'agreeable', 'emotionally stable']",13,11,6,4,3
"open to experience, unconscientious, slightly extroverted, agreeable and emotionally stable","['open to experience', 'unconscientious', 'slightly extroverted', 'agreeable', 'emotionally stable']",8,7,6,3,3
"open to experience, unconscientious, extroverted, highly agreeable and emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'highly agreeable', 'emotionally stable']",15,15,9,5,5
"open to experience, unconscientious, extroverted, slightly agreeable and emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'slightly agreeable', 'emotionally stable']",6,6,6,3,3
"open to experience, unconscientious, extroverted, agreeable and highly emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'agreeable', 'highly emotionally stable']",11,8,6,4,3
"open to experience, unconscientious, extroverted, agreeable and slightly emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'agreeable', 'slightly emotionally stable']",7,7,6,4,3
"highly open to experience, unconscientious, extroverted, antagonistic and neurotic","['highly open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'neurotic']",4,3,10,10,5
"slightly open to experience, unconscientious, extroverted, antagonistic and neurotic","['slightly open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'neurotic']",4,4,10,9,4
"open to experience, highly unconscientious, extroverted, antagonistic and neurotic","['open to experience', 'highly unconscientious', 'extroverted', 'antagonistic', 'neurotic']",3,3,10,9,5
"open to experience, slightly unconscientious, extroverted, antagonistic and neurotic","['open to experience', 'slightly unconscientious', 'extroverted', 'antagonistic', 'neurotic']",5,7,11,8,4
"open to experience, unconscientious, highly extroverted, antagonistic and neurotic","['open to experience', 'unconscientious', 'highly extroverted', 'antagonistic', 'neurotic']",3,3,10,10,5
"open to experience, unconscientious, slightly extroverted, antagonistic and neurotic","['open to experience', 'unconscientious', 'slightly extroverted', 'antagonistic', 'neurotic']",4,4,10,8,4
"open to experience, unconscientious, extroverted, highly antagonistic and neurotic","['open to experience', 'unconscientious', 'extroverted', 'highly antagonistic', 'neurotic']",5,5,10,10,5
"open to experience, unconscientious, extroverted, slightly antagonistic and neurotic","['open to experience', 'unconscientious', 'extroverted', 'slightly antagonistic', 'neurotic']",5,6,9,7,4
"open to experience, unconscientious, extroverted, antagonistic and highly neurotic","['open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'highly neurotic']",3,4,11,10,5
"open to experience, unconscientious, extroverted, antagonistic and slightly neurotic","['open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'slightly neurotic']",4,4,10,8,4
"highly open to experience, unconscientious, extroverted, antagonistic and emotionally stable","['highly open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'emotionally stable']",3,3,6,7,2
"slightly open to experience, unconscientious, extroverted, antagonistic and emotionally stable","['slightly open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'emotionally stable']",5,4,9,8,3
"open to experience, highly unconscientious, extroverted, antagonistic and emotionally stable","['open to experience', 'highly unconscientious', 'extroverted', 'antagonistic', 'emotionally stable']",3,3,6,8,2
"open to experience, slightly unconscientious, extroverted, antagonistic and emotionally stable","['open to experience', 'slightly unconscientious', 'extroverted', 'antagonistic', 'emotionally stable']",4,5,9,7,4
"open to experience, unconscientious, highly extroverted, antagonistic and emotionally stable","['open to experience', 'unconscientious', 'highly extroverted', 'antagonistic', 'emotionally stable']",2,3,7,8,2
"open to experience, unconscientious, slightly extroverted, antagonistic and emotionally stable","['open to experience', 'unconscientious', 'slightly extroverted', 'antagonistic', 'emotionally stable']",3,3,7,7,3
"open to experience, unconscientious, extroverted, highly antagonistic and emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'highly antagonistic', 'emotionally stable']",3,3,9,9,2
"open to experience, unconscientious, extroverted, slightly antagonistic and emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'slightly antagonistic', 'emotionally stable']",4,5,5,5,3
"open to experience, unconscientious, extroverted, antagonistic and highly emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'highly emotionally stable']",2,3,7,8,2
"open to experience, unconscientious, extroverted, antagonistic and slightly emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'slightly emotionally stable']",3,3,8,8,3
"highly open to experience, unconscientious, introverted, agreeable and neurotic","['highly open to experience', 'unconscientious', 'introverted', 'agreeable', 'neurotic']",10,7,5,3,4
"slightly open to experience, unconscientious, introverted, agreeable and neurotic","['slightly open to experience', 'unconscientious', 'introverted', 'agreeable', 'neurotic']",9,8,8,7,6
"open to experience, highly unconscientious, introverted, agreeable and neurotic","['open to experience', 'highly unconscientious', 'introverted', 'agreeable', 'neurotic']",9,9,6,3,4
"open to experience, slightly unconscientious, introverted, agreeable and neurotic","['open to experience', 'slightly unconscientious', 'introverted', 'agreeable', 'neurotic']",10,9,8,7,6
"open to experience, unconscientious, highly introverted, agreeable and neurotic","['open to experience', 'unconscientious', 'highly introverted', 'agreeable', 'neurotic']",12,9,8,8,5
"open to experience, unconscientious, slightly introverted, agreeable and neurotic","['open to experience', 'unconscientious', 'slightly introverted', 'agreeable', 'neurotic']",9,9,7,5,6
"open to experience, unconscientious, introverted, highly agreeable and neurotic","['open to experience', 'unconscientious', 'introverted', 'highly agreeable', 'neurotic']",15,15,12,9,10
"open to experience, unconscientious, introverted, slightly agreeable and neurotic","['open to experience', 'unconscientious', 'introverted', 'slightly agreeable', 'neurotic']",6,6,5,4,4
"open to experience, unconscientious, introverted, agreeable and highly neurotic","['open to experience', 'unconscientious', 'introverted', 'agreeable', 'highly neurotic']",12,12,11,8,10
"open to experience, unconscientious, introverted, agreeable and slightly neurotic","['open to experience', 'unconscientious', 'introverted', 'agreeable', 'slightly neurotic']",8,6,6,4,5
"highly open to experience, unconscientious, introverted, agreeable and emotionally stable","['highly open to experience', 'unconscientious', 'introverted', 'agreeable', 'emotionally stable']",8,7,4,1,3
"slightly open to experience, unconscientious, introverted, agreeable and emotionally stable","['slightly open to experience', 'unconscientious', 'introverted', 'agreeable', 'emotionally stable']",8,8,7,5,5
"open to experience, highly unconscientious, introverted, agreeable and emotionally stable","['open to experience', 'highly unconscientious', 'introverted', 'agreeable', 'emotionally stable']",8,6,4,3,3
"open to experience, slightly unconscientious, introverted, agreeable and emotionally stable","['open to experience', 'slightly unconscientious', 'introverted', 'agreeable', 'emotionally stable']",10,9,7,5,6
"open to experience, unconscientious, highly introverted, agreeable and emotionally stable","['open to experience', 'unconscientious', 'highly introverted', 'agreeable', 'emotionally stable']",9,8,5,4,3
"open to experience, unconscientious, slightly introverted, agreeable and emotionally stable","['open to experience', 'unconscientious', 'slightly introverted', 'agreeable', 'emotionally stable']",8,8,6,3,3
"open to experience, unconscientious, introverted, highly agreeable and emotionally stable","['open to experience', 'unconscientious', 'introverted', 'highly agreeable', 'emotionally stable']",15,15,10,6,5
"open to experience, unconscientious, introverted, slightly agreeable and emotionally stable","['open to experience', 'unconscientious', 'introverted', 'slightly agreeable', 'emotionally stable']",6,6,5,4,3
"open to experience, unconscientious, introverted, agreeable and highly emotionally stable","['open to experience', 'unconscientious', 'introverted', 'agreeable', 'highly emotionally stable']",6,6,5,4,3
"open to experience, unconscientious, introverted, agreeable and slightly emotionally stable","['open to experience', 'unconscientious', 'introverted', 'agreeable', 'slightly emotionally stable']",6,6,6,4,3
"highly open to experience, unconscientious, introverted, antagonistic and neurotic","['highly open to experience', 'unconscientious', 'introverted', 'antagonistic', 'neurotic']",3,3,8,10,4
"slightly open to experience, unconscientious, introverted, antagonistic and neurotic","['slightly open to experience', 'unconscientious', 'introverted', 'antagonistic', 'neurotic']",4,5,10,8,5
"open to experience, highly unconscientious, introverted, antagonistic and neurotic","['open to experience', 'highly unconscientious', 'introverted', 'antagonistic', 'neurotic']",3,3,7,8,4
"open to experience, slightly unconscientious, introverted, antagonistic and neurotic","['open to experience', 'slightly unconscientious', 'introverted', 'antagonistic', 'neurotic']",5,6,8,7,4
"open to experience, unconscientious, highly introverted, antagonistic and neurotic","['open to experience', 'unconscientious', 'highly introverted', 'antagonistic', 'neurotic']",3,3,10,10,5
"open to experience, unconscientious, slightly introverted, antagonistic and neurotic","['open to experience', 'unconscientious', 'slightly introverted', 'antagonistic', 'neurotic']",4,4,9,7,4
"open to experience, unconscientious, introverted, highly antagonistic and neurotic","['open to experience', 'unconscientious', 'introverted', 'highly antagonistic', 'neurotic']",5,5,10,10,5
"open to experience, unconscientious, introverted, slightly antagonistic and neurotic","['open to experience', 'unconscientious', 'introverted', 'slightly antagonistic', 'neurotic']",4,6,6,6,4
"open to experience, unconscientious, introverted, antagonistic and highly neurotic","['open to experience', 'unconscientious', 'introverted', 'antagonistic', 'highly neurotic']",4,3,10,9,5
"open to experience, unconscientious, introverted, antagonistic and slightly neurotic","['open to experience', 'unconscientious', 'introverted', 'antagonistic', 'slightly neurotic']",3,3,8,8,3
"highly open to experience, unconscientious, introverted, antagonistic and emotionally stable","['highly open to experience', 'unconscientious', 'introverted', 'antagonistic', 'emotionally stable']",2,3,5,6,2
"slightly open to experience, unconscientious, introverted, antagonistic and emotionally stable","['slightly open to experience', 'unconscientious', 'introverted', 'antagonistic', 'emotionally stable']",5,4,8,6,4
"open to experience, highly unconscientious, introverted, antagonistic and emotionally stable","['open to experience', 'highly unconscientious', 'introverted', 'antagonistic', 'emotionally stable']",2,2,5,6,2
"open to experience, slightly unconscientious, introverted, antagonistic and emotionally stable","['open to experience', 'slightly unconscientious', 'introverted', 'antagonistic', 'emotionally stable']",4,5,7,7,3
"open to experience, unconscientious, highly introverted, antagonistic and emotionally stable","['open to experience', 'unconscientious', 'highly introverted', 'antagonistic', 'emotionally stable']",2,1,5,7,2
"open to experience, unconscientious, slightly introverted, antagonistic and emotionally stable","['open to experience', 'unconscientious', 'slightly introverted', 'antagonistic', 'emotionally stable']",3,3,7,7,2
"open to experience, unconscientious, introverted, highly antagonistic and emotionally stable","['open to experience', 'unconscientious', 'introverted', 'highly antagonistic', 'emotionally stable']",3,3,8,8,2
"open to experience, unconscientious, introverted, slightly antagonistic and emotionally stable","['open to experience', 'unconscientious', 'introverted', 'slightly antagonistic', 'emotionally stable']",4,5,5,4,3
"open to experience, unconscientious, introverted, antagonistic and highly emotionally stable","['open to experience', 'unconscientious', 'introverted', 'antagonistic', 'highly emotionally stable']",2,1,5,6,0
"open to experience, unconscientious, introverted, antagonistic and slightly emotionally stable","['open to experience', 'unconscientious', 'introverted', 'antagonistic', 'slightly emotionally stable']",3,3,7,7,2
"highly closed to experience, conscientious, extroverted, agreeable and neurotic","['highly closed to experience', 'conscientious', 'extroverted', 'agreeable', 'neurotic']",15,15,13,15,15
"slightly closed to experience, conscientious, extroverted, agreeable and neurotic","['slightly closed to experience', 'conscientious', 'extroverted', 'agreeable', 'neurotic']",15,15,13,13,12
"closed to experience, highly conscientious, extroverted, agreeable and neurotic","['closed to experience', 'highly conscientious', 'extroverted', 'agreeable', 'neurotic']",15,15,14,15,15
"closed to experience, slightly conscientious, extroverted, agreeable and neurotic","['closed to experience', 'slightly conscientious', 'extroverted', 'agreeable', 'neurotic']",15,13,13,11,11
"closed to experience, conscientious, highly extroverted, agreeable and neurotic","['closed to experience', 'conscientious', 'highly extroverted', 'agreeable', 'neurotic']",15,15,13,15,12
"closed to experience, conscientious, slightly extroverted, agreeable and neurotic","['closed to experience', 'conscientious', 'slightly extroverted', 'agreeable', 'neurotic']",15,15,13,15,13
"closed to experience, conscientious, extroverted, highly agreeable and neurotic","['closed to experience', 'conscientious', 'extroverted', 'highly agreeable', 'neurotic']",15,15,13,15,15
"closed to experience, conscientious, extroverted, slightly agreeable and neurotic","['closed to experience', 'conscientious', 'extroverted', 'slightly agreeable', 'neurotic']",11,12,13,14,11
"closed to experience, conscientious, extroverted, agreeable and highly neurotic","['closed to experience', 'conscientious', 'extroverted', 'agreeable', 'highly neurotic']",15,15,13,15,15
"closed to experience, conscientious, extroverted, agreeable and slightly neurotic","['closed to experience', 'conscientious', 'extroverted', 'agreeable', 'slightly neurotic']",15,15,13,15,12
"highly closed to experience, conscientious, extroverted, agreeable and emotionally stable","['highly closed to experience', 'conscientious', 'extroverted', 'agreeable', 'emotionally stable']",15,15,14,15,12
"slightly closed to experience, conscientious, extroverted, agreeable and emotionally stable","['slightly closed to experience', 'conscientious', 'extroverted', 'agreeable', 'emotionally stable']",15,15,13,12,10
"closed to experience, highly conscientious, extroverted, agreeable and emotionally stable","['closed to experience', 'highly conscientious', 'extroverted', 'agreeable', 'emotionally stable']",15,15,14,15,11
"closed to experience, slightly conscientious, extroverted, agreeable and emotionally stable","['closed to experience', 'slightly conscientious', 'extroverted', 'agreeable', 'emotionally stable']",13,12,10,9,8
"closed to experience, conscientious, highly extroverted, agreeable and emotionally stable","['closed to experience', 'conscientious', 'highly extroverted', 'agreeable', 'emotionally stable']",15,15,13,14,11
